dataset,samples,features,feature_sample_ratio,numeric_features,categorical_features,missing_values,duplicates,majority_class,minority_class,majority_count,minority_count,minority_proportion,imbalance_ratio
pima,768,8,0.0104,8,0,0,0,tested_negative,tested_positive,500,268,0.349,1.866
glass1,214,9,0.0421,9,0,0,1,negative,positive,138,76,0.355,1.816
wisconsin,683,9,0.0132,9,0,0,234,negative,positive,444,239,0.35,1.858
yeast1,1484,8,0.0054,8,0,0,31,negative,positive,1055,429,0.289,2.459
haberman,306,3,0.0098,3,0,0,23,negative,positive,225,81,0.265,2.778
vehicle2,846,18,0.0213,18,0,0,0,negative,positive,628,218,0.258,2.881
iris0,150,4,0.0267,4,0,0,3,negative,positive,100,50,0.333,2.0
segment0,2308,19,0.0082,19,0,0,224,negative,positive,1979,329,0.143,6.015
page-blocks0,5472,10,0.0018,10,0,0,79,negative,positive,4913,559,0.102,8.789
vowel0,988,13,0.0132,13,0,0,0,negative,positive,898,90,0.091,9.978
shuttle-c0-vs-c4,1829,9,0.0049,9,0,0,0,negative,positive,1706,123,0.067,13.87
ecoli-0_vs_1,220,7,0.0318,7,0,0,0,positive,negative,143,77,0.35,1.857
zoo-3,101,16,0.1584,16,0,0,42,negative,positive,96,5,0.05,19.2
abalone9-18,731,8,0.0109,7,1,0,0,negative,positive,689,42,0.057,16.405
