meta_model,classifier,datasets,positive_selection_rate,improvement_rate,oracle_match_rate,mean_baseline_macro_f1,mean_selected_macro_f1,mean_oracle_macro_f1,mean_selected_improvement,mean_oracle_improvement,mean_gap_to_oracle,mean_savings_percent
gradient_boosting,decision_tree,12,50.0,8.333333333333332,25.0,0.858295489662685,0.8547046971016581,0.8715726625952603,-0.0035907925610269378,0.01327717293257528,0.016867965493602217,84.10267563440937
gradient_boosting,logistic_regression,12,25.0,0.0,41.66666666666667,0.8337024945926549,0.8316576051083956,0.8561757151151759,-0.002044889484259275,0.022473220522521153,0.02451811000678043,85.233992056423
gradient_boosting,random_forest,12,33.33333333333333,25.0,41.66666666666667,0.8826875725185327,0.886600821617253,0.8986038904922498,0.003913249098720271,0.015916317973717054,0.012003068874996784,86.69213067521541
gradient_boosting,xgboost,12,50.0,16.666666666666664,25.0,0.8798558348490212,0.8776244238324953,0.8906282003989623,-0.002231411016525945,0.01077236554994109,0.013003776566467035,84.99734620015109
random_forest,decision_tree,12,66.66666666666666,16.666666666666664,33.33333333333333,0.858295489662685,0.857465316024559,0.8715726625952603,-0.0008301736381260508,0.01327717293257528,0.014107346570701331,85.16184895718551
random_forest,logistic_regression,12,50.0,8.333333333333332,25.0,0.8337024945926549,0.8324677166958816,0.8561757151151759,-0.0012347778967732037,0.022473220522521153,0.023707998419294357,87.58030845820365
random_forest,random_forest,12,50.0,16.666666666666664,41.66666666666667,0.8826875725185327,0.8843817549573475,0.8986038904922498,0.0016941824388147693,0.015916317973717054,0.014222135534902286,85.37967470752083
random_forest,xgboost,12,58.333333333333336,16.666666666666664,25.0,0.8798558348490212,0.8725183359828393,0.8906282003989623,-0.007337498866181884,0.01077236554994109,0.018109864416122973,85.93565838783611
ridge,decision_tree,12,50.0,0.0,16.666666666666664,0.858295489662685,0.8490505780654689,0.8715726625952603,-0.009244911597216179,0.01327717293257528,0.02252208452979146,81.75939732650865
ridge,logistic_regression,12,41.66666666666667,0.0,25.0,0.8337024945926549,0.8253532502387144,0.8561757151151759,-0.00834924435394041,0.022473220522521153,0.030822464876461564,86.93441464984785
ridge,random_forest,12,50.0,8.333333333333332,25.0,0.8826875725185327,0.8749733258905293,0.8986038904922498,-0.0077142466280033335,0.015916317973717054,0.02363056460172039,86.32563552895103
ridge,xgboost,12,50.0,8.333333333333332,25.0,0.8798558348490212,0.8774451136132749,0.8906282003989623,-0.0024107212357462695,0.01077236554994109,0.013183086785687359,84.9581504758671
xgboost,decision_tree,12,50.0,8.333333333333332,25.0,0.858295489662685,0.8558899251462866,0.8715726625952603,-0.002405564516398497,0.01327717293257528,0.015682737448973777,86.08253381849103
xgboost,logistic_regression,12,41.66666666666667,8.333333333333332,25.0,0.8337024945926549,0.8323290339542551,0.8561757151151759,-0.0013734606383996966,0.022473220522521153,0.02384668116092085,87.5338720222896
xgboost,random_forest,12,58.333333333333336,8.333333333333332,25.0,0.8826875725185327,0.8766271133845858,0.8986038904922498,-0.006060459133946853,0.015916317973717054,0.02197677710766391,85.71779718142592
xgboost,xgboost,12,58.333333333333336,8.333333333333332,25.0,0.8798558348490212,0.8694906392833617,0.8906282003989623,-0.01036519556565955,0.01077236554994109,0.02113756111560064,85.1407738619862
