dataset,resampling_code,resampling,classifier,samples,features,numeric_features,categorical_features,safe_k_neighbors,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1_class_0_math,f1_class_1_math,macro_f1_code,macro_f1_math,metric_error,verification,failure_reason,execution_time_seconds
ecoli-0_vs_1,smote_tomek,SMOTE-Tomek,logistic_regression,220,7,7,0,5,142,1,2,75,0.9863636363636363,0.9835164835164836,0.9868421052631579,0.974025974025974,0.9895470383275262,0.9803921568627451,0.9849695975951356,0.9849695975951356,0.0,PASS,,0.1825757999999995
ecoli-0_vs_1,rus,Random Undersampling,logistic_regression,220,7,7,0,5,141,2,2,75,0.9818181818181818,0.98001998001998,0.974025974025974,0.974025974025974,0.986013986013986,0.974025974025974,0.98001998001998,0.98001998001998,0.0,PASS,,0.1325232999999999
ecoli-0_vs_1,smote,SMOTE,logistic_regression,220,7,7,0,5,141,2,2,75,0.9818181818181818,0.98001998001998,0.974025974025974,0.974025974025974,0.986013986013986,0.974025974025974,0.98001998001998,0.98001998001998,0.0,PASS,,0.10604790000000008
ecoli-0_vs_1,none,No Resampling,logistic_regression,220,7,7,0,5,142,1,3,74,0.9818181818181818,0.977022977022977,0.9866666666666667,0.961038961038961,0.986111111111111,0.9736842105263157,0.9798976608187133,0.9798976608187133,0.0,PASS,,0.13709539999999976
ecoli-0_vs_1,ros,Random Oversampling,logistic_regression,220,7,7,0,5,140,3,2,75,0.9772727272727273,0.9765234765234765,0.9615384615384616,0.974025974025974,0.9824561403508772,0.967741935483871,0.9750990379173741,0.9750990379173741,0.0,PASS,,0.0957814999999993
ecoli-0_vs_1,adasyn,ADASYN,logistic_regression,220,7,7,0,5,139,4,2,75,0.9727272727272728,0.9730269730269729,0.9493670886075949,0.974025974025974,0.9788732394366197,0.9615384615384615,0.9702058504875406,0.9702058504875406,0.0,PASS,,0.15763749999999987
ecoli-0_vs_1,smote_enn,SMOTE-ENN,logistic_regression,220,7,7,0,5,140,3,4,73,0.9681818181818181,0.9635364635364636,0.9605263157894737,0.948051948051948,0.975609756097561,0.9542483660130718,0.9649290610553164,0.9649290610553164,0.0,PASS,,0.2055846999999993
ecoli-0_vs_1,smote_enn,SMOTE-ENN,decision_tree,220,7,7,0,5,143,0,2,75,0.990909090909091,0.987012987012987,1.0,0.974025974025974,0.9930555555555556,0.9868421052631579,0.9899488304093567,0.9899488304093567,0.0,PASS,,0.1294915999999997
ecoli-0_vs_1,ros,Random Oversampling,decision_tree,220,7,7,0,5,141,2,2,75,0.9818181818181818,0.98001998001998,0.974025974025974,0.974025974025974,0.986013986013986,0.974025974025974,0.98001998001998,0.98001998001998,0.0,PASS,,0.07955660000000009
ecoli-0_vs_1,smote,SMOTE,decision_tree,220,7,7,0,5,141,2,2,75,0.9818181818181818,0.98001998001998,0.974025974025974,0.974025974025974,0.986013986013986,0.974025974025974,0.98001998001998,0.98001998001998,0.0,PASS,,0.10390970000000088
