dataset,resampling_code,resampling,classifier,samples,features,numeric_features,categorical_features,safe_k_neighbors,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1_class_0_math,f1_class_1_math,macro_f1_code,macro_f1_math,metric_error,verification,execution_time_seconds
haberman,smote_enn,SMOTE-ENN,logistic_regression,306,3,3,0,5,168,57,35,46,0.6993464052287581,0.657283950617284,0.44660194174757284,0.5679012345679012,0.7850467289719627,0.5,0.6425233644859814,0.6425233644859814,0.0,PASS,0.1249273999999998
haberman,rus,Random Undersampling,logistic_regression,306,3,3,0,5,174,51,39,42,0.7058823529411765,0.6459259259259259,0.45161290322580644,0.5185185185185185,0.7945205479452055,0.48275862068965514,0.6386395843174304,0.6386395843174304,0.0,PASS,0.1196142
haberman,smote_tomek,SMOTE-Tomek,logistic_regression,306,3,3,0,5,175,50,41,40,0.7026143790849673,0.6358024691358024,0.4444444444444444,0.49382716049382713,0.7936507936507937,0.4678362573099415,0.6307435254803676,0.6307435254803676,0.0,PASS,0.10566649999999989
haberman,smote,SMOTE,logistic_regression,306,3,3,0,5,175,50,42,39,0.6993464052287581,0.6296296296296297,0.43820224719101125,0.48148148148148145,0.7918552036199094,0.4588235294117647,0.625339366515837,0.625339366515837,0.0,PASS,0.13879389999999958
haberman,ros,Random Oversampling,logistic_regression,306,3,3,0,5,176,49,43,38,0.6993464052287581,0.625679012345679,0.4367816091954023,0.4691358024691358,0.7927927927927927,0.4523809523809524,0.6225868725868725,0.6225868725868725,0.0,PASS,0.10708289999999998
haberman,adasyn,ADASYN,logistic_regression,306,3,3,0,5,159,66,40,41,0.6535947712418301,0.6064197530864197,0.38317757009345793,0.5061728395061729,0.7500000000000001,0.43617021276595747,0.5930851063829787,0.5930851063829787,0.0,PASS,0.15445180000000036
haberman,none,No Resampling,logistic_regression,306,3,3,0,5,213,12,69,12,0.7352941176470589,0.5474074074074073,0.5,0.14814814814814814,0.8402366863905325,0.22857142857142856,0.5344040574809805,0.5344040574809805,0.0,PASS,0.09505480000000022
haberman,smote_enn,SMOTE-ENN,decision_tree,306,3,3,0,5,155,70,28,53,0.6797385620915033,0.671604938271605,0.43089430894308944,0.654320987654321,0.7598039215686274,0.5196078431372549,0.6397058823529411,0.6397058823529411,0.0,PASS,0.10947450000000014
haberman,adasyn,ADASYN,decision_tree,306,3,3,0,5,163,62,47,34,0.6437908496732027,0.5720987654320988,0.3541666666666667,0.41975308641975306,0.7494252873563219,0.384180790960452,0.5668030391583869,0.5668030391583869,0.0,PASS,0.09551829999999928
haberman,none,No Resampling,decision_tree,306,3,3,0,5,167,58,49,32,0.6503267973856209,0.568641975308642,0.35555555555555557,0.3950617283950617,0.7573696145124716,0.3742690058479532,0.5658193101802125,0.5658193101802125,0.0,PASS,0.0980717999999996
haberman,smote_tomek,SMOTE-Tomek,decision_tree,306,3,3,0,5,160,65,49,32,0.6274509803921569,0.5530864197530865,0.32989690721649484,0.3950617283950617,0.7373271889400922,0.35955056179775285,0.5484388753689226,0.5484388753689226,0.0,PASS,0.11206840000000007
haberman,smote,SMOTE,decision_tree,306,3,3,0,5,156,69,50,31,0.6111111111111112,0.5380246913580247,0.31,0.38271604938271603,0.7238979118329466,0.3425414364640884,0.5332196741485176,0.5332196741485176,0.0,PASS,0.08331959999999938
haberman,rus,Random Undersampling,decision_tree,306,3,3,0,5,123,102,33,48,0.5588235294117647,0.5696296296296296,0.32,0.5925925925925926,0.6456692913385826,0.41558441558441556,0.5306268534614991,0.5306268534614991,0.0,PASS,0.07827370000000045
haberman,ros,Random Oversampling,decision_tree,306,3,3,0,5,172,53,58,23,0.6372549019607843,0.5241975308641975,0.3026315789473684,0.2839506172839506,0.7560439560439559,0.2929936305732484,0.5245187933086022,0.5245187933086022,0.0,PASS,0.10088439999999999
haberman,smote_enn,SMOTE-ENN,random_forest,306,3,3,0,5,164,61,30,51,0.7026143790849673,0.6792592592592592,0.45535714285714285,0.6296296296296297,0.7828162291169452,0.5284974093264247,0.655656819221685,0.655656819221685,0.0,PASS,4.2816215
haberman,rus,Random Undersampling,random_forest,306,3,3,0,5,140,85,27,54,0.6339869281045751,0.6444444444444444,0.38848920863309355,0.6666666666666666,0.7142857142857143,0.49090909090909085,0.6025974025974026,0.6025974025974026,0.0,PASS,3.6341018
haberman,adasyn,ADASYN,random_forest,306,3,3,0,5,168,57,44,37,0.6699346405228758,0.6017283950617284,0.39361702127659576,0.4567901234567901,0.7688787185354692,0.4228571428571428,0.595867930696306,0.595867930696306,0.0,PASS,3.8601326
haberman,smote_tomek,SMOTE-Tomek,random_forest,306,3,3,0,5,171,54,50,31,0.6601307189542484,0.571358024691358,0.36470588235294116,0.38271604938271603,0.7668161434977578,0.37349397590361444,0.5701550597006861,0.5701550597006861,0.0,PASS,3.5608432000000008
haberman,ros,Random Oversampling,random_forest,306,3,3,0,5,171,54,52,29,0.6535947712418301,0.5590123456790124,0.3493975903614458,0.35802469135802467,0.7633928571428571,0.3536585365853659,0.5585256968641115,0.5585256968641115,0.0,PASS,3.0236871
haberman,smote,SMOTE,random_forest,306,3,3,0,5,172,53,54,27,0.6503267973856209,0.5488888888888889,0.3375,0.3333333333333333,0.7627494456762751,0.3354037267080745,0.5490765861921748,0.5490765861921748,0.0,PASS,4.027326799999999
haberman,none,No Resampling,random_forest,306,3,3,0,5,189,36,63,18,0.6764705882352942,0.5311111111111111,0.3333333333333333,0.2222222222222222,0.7924528301886793,0.26666666666666666,0.529559748427673,0.529559748427673,0.0,PASS,3.2899539000000004
haberman,smote_enn,SMOTE-ENN,xgboost,306,3,3,0,5,160,65,31,50,0.6862745098039216,0.6641975308641975,0.43478260869565216,0.6172839506172839,0.7692307692307692,0.510204081632653,0.6397174254317111,0.6397174254317111,0.0,PASS,1.160656700000004
haberman,adasyn,ADASYN,xgboost,306,3,3,0,5,174,51,45,36,0.6862745098039216,0.6088888888888888,0.41379310344827586,0.4444444444444444,0.7837837837837838,0.4285714285714286,0.6061776061776062,0.6061776061776062,0.0,PASS,1.1435215999999997
haberman,rus,Random Undersampling,xgboost,306,3,3,0,5,132,93,29,52,0.6013071895424836,0.614320987654321,0.3586206896551724,0.6419753086419753,0.6839378238341969,0.4601769911504424,0.5720574074923197,0.5720574074923197,0.0,PASS,1.0624476999999999
haberman,smote,SMOTE,xgboost,306,3,3,0,5,169,56,49,32,0.6568627450980392,0.5730864197530864,0.36363636363636365,0.3950617283950617,0.7629796839729119,0.378698224852071,0.5708389544124914,0.5708389544124914,0.0,PASS,1.1550050000000027
haberman,smote_tomek,SMOTE-Tomek,xgboost,306,3,3,0,5,164,61,47,34,0.6470588235294118,0.5743209876543209,0.35789473684210527,0.41975308641975306,0.7522935779816514,0.38636363636363635,0.5693286071726439,0.5693286071726439,0.0,PASS,1.1463117999999994
haberman,ros,Random Oversampling,xgboost,306,3,3,0,5,166,59,50,31,0.6437908496732027,0.5602469135802469,0.34444444444444444,0.38271604938271603,0.7528344671201813,0.3625730994152046,0.557703783267693,0.557703783267693,0.0,PASS,1.4859182000000004
haberman,none,No Resampling,xgboost,306,3,3,0,5,189,36,60,21,0.6862745098039216,0.5496296296296296,0.3684210526315789,0.25925925925925924,0.7974683544303797,0.30434782608695654,0.550908090258668,0.550908090258668,0.0,PASS,1.2656604000000016
