dataset,samples,features,feature_sample_ratio,numeric_features,categorical_features,missing_values,duplicates,majority_count,minority_count,minority_proportion,imbalance_ratio,resampling_code,resampling,classifier,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1_class_0_math,f1_class_1_math,macro_f1_code,macro_f1_math,metric_error,verification,execution_time_seconds,target_macro_f1,baseline_macro_f1,delta_macro_f1_vs_baseline
glass1,214,9,0.0421,9,0,0,1,138,76,0.355,1.816,none,No Resampling,decision_tree,114,24,23,53,0.780373831775701,0.7617276887871853,0.6883116883116883,0.6973684210526315,0.829090909090909,0.6928104575163399,0.7609506833036244,0.7609506833036244,0.0,PASS,0.0598220000000004,0.7609506833036244,0.7609506833036244,0.0
glass1,214,9,0.0421,9,0,0,1,138,76,0.355,1.816,smote_tomek,SMOTE-Tomek,decision_tree,113,25,24,52,0.7710280373831776,0.7515255530129672,0.6753246753246753,0.6842105263157895,0.8218181818181818,0.6797385620915033,0.7507783719548425,0.7507783719548425,0.0,PASS,0.1585719000000001,0.7507783719548425,0.7609506833036244,-0.010172311348781826
glass1,214,9,0.0421,9,0,0,1,138,76,0.355,1.816,ros,Random Oversampling,decision_tree,111,27,24,52,0.7616822429906542,0.744279176201373,0.6582278481012658,0.6842105263157895,0.8131868131868132,0.6709677419354839,0.7420772775611486,0.7420772775611486,0.0,PASS,0.0621887000000001,0.7420772775611486,0.7609506833036244,-0.018873405742475757
glass1,214,9,0.0421,9,0,0,1,138,76,0.355,1.816,adasyn,ADASYN,decision_tree,105,33,21,55,0.7476635514018691,0.7422768878718535,0.625,0.7236842105263158,0.7954545454545455,0.6707317073170731,0.7330931263858094,0.7330931263858094,0.0,PASS,0.1237161999999996,0.7330931263858094,0.7609506833036244,-0.027857556917814996
glass1,214,9,0.0421,9,0,0,1,138,76,0.355,1.816,rus,Random Undersampling,decision_tree,105,33,22,54,0.7429906542056075,0.7356979405034325,0.6206896551724138,0.7105263157894737,0.7924528301886792,0.6625766871165644,0.7275147586526218,0.7275147586526218,0.0,PASS,0.0662140999999998,0.7275147586526218,0.7609506833036244,-0.033435924651002535
glass1,214,9,0.0421,9,0,0,1,138,76,0.355,1.816,smote,SMOTE,decision_tree,110,28,27,49,0.7429906542056075,0.7209191456903128,0.6363636363636364,0.6447368421052632,0.7999999999999999,0.6405228758169935,0.7202614379084967,0.7202614379084967,0.0,PASS,0.1001485999999998,0.7202614379084967,0.7609506833036244,-0.04068924539512764
glass1,214,9,0.0421,9,0,0,1,138,76,0.355,1.816,smote_enn,SMOTE-ENN,decision_tree,101,37,25,51,0.7102803738317757,0.701468344774981,0.5795454545454546,0.6710526315789473,0.7651515151515151,0.6219512195121951,0.6935513673318552,0.6935513673318552,0.0,PASS,0.1286617000000003,0.6935513673318552,0.7609506833036244,-0.06739931597176918
glass1,214,9,0.0421,9,0,0,1,138,76,0.355,1.816,smote_enn,SMOTE-ENN,logistic_regression,73,65,18,58,0.6121495327102804,0.6460717009916095,0.4715447154471545,0.7631578947368421,0.6375545851528385,0.5829145728643216,0.61023457900858,0.61023457900858,0.0,PASS,0.1297129999999997,0.61023457900858,0.5015185021376971,0.10871607687088292
glass1,214,9,0.0421,9,0,0,1,138,76,0.355,1.816,ros,Random Oversampling,logistic_regression,71,67,17,59,0.6074766355140186,0.6454042715484363,0.4682539682539682,0.7763157894736842,0.6283185840707964,0.5841584158415842,0.6062384999561903,0.6062384999561903,0.0,PASS,0.2019522,0.6062384999561903,0.5015185021376971,0.10471999781849317
glass1,214,9,0.0421,9,0,0,1,138,76,0.355,1.816,smote,SMOTE,logistic_regression,73,65,19,57,0.6074766355140186,0.6394927536231885,0.4672131147540984,0.75,0.6347826086956523,0.5757575757575758,0.6052700922266141,0.6052700922266141,0.0,PASS,0.0968233000000005,0.6052700922266141,0.5015185021376971,0.10375159008891699
glass1,214,9,0.0421,9,0,0,1,138,76,0.355,1.816,smote_tomek,SMOTE-Tomek,logistic_regression,72,66,20,56,0.5981308411214953,0.6292906178489702,0.4590163934426229,0.7368421052631579,0.6260869565217392,0.5656565656565656,0.5958717610891524,0.5958717610891524,0.0,PASS,0.1478598999999993,0.5958717610891524,0.5015185021376971,0.0943532589514553
glass1,214,9,0.0421,9,0,0,1,138,76,0.355,1.816,rus,Random Undersampling,logistic_regression,78,60,29,47,0.5841121495327103,0.5918192219679634,0.4392523364485981,0.618421052631579,0.636734693877551,0.5136612021857924,0.5751979480316717,0.5751979480316717,0.0,PASS,0.1469683000000001,0.5751979480316717,0.5015185021376971,0.07367944589397457
glass1,214,9,0.0421,9,0,0,1,138,76,0.355,1.816,adasyn,ADASYN,logistic_regression,71,67,26,50,0.5654205607476636,0.5861937452326469,0.4273504273504273,0.6578947368421053,0.6042553191489362,0.5181347150259067,0.5611950170874214,0.5611950170874214,0.0,PASS,0.1282461999999995,0.5611950170874214,0.5015185021376971,0.05967651494972426
glass1,214,9,0.0421,9,0,0,1,138,76,0.355,1.816,none,No Resampling,logistic_regression,122,16,63,13,0.6308411214953271,0.5275553012967201,0.4482758620689655,0.1710526315789473,0.7554179566563467,0.2476190476190476,0.5015185021376971,0.5015185021376971,0.0,PASS,0.0935211000000002,0.5015185021376971,0.5015185021376971,0.0
glass1,214,9,0.0421,9,0,0,1,138,76,0.355,1.816,ros,Random Oversampling,random_forest,130,8,19,57,0.8738317757009346,0.8460144927536232,0.8769230769230769,0.75,0.9059233449477352,0.8085106382978723,0.8572169916228037,0.8572169916228037,0.0,PASS,2.7244619,0.8572169916228037,0.8335967090576166,0.023620282565187112
glass1,214,9,0.0421,9,0,0,1,138,76,0.355,1.816,smote,SMOTE,random_forest,126,12,18,58,0.8598130841121495,0.8381006864988558,0.8285714285714286,0.7631578947368421,0.8936170212765957,0.7945205479452055,0.8440687846109006,0.8440687846109006,0.0,PASS,2.306315000000001,0.8440687846109006,0.8335967090576166,0.010472075553284
glass1,214,9,0.0421,9,0,0,1,138,76,0.355,1.816,none,No Resampling,random_forest,130,8,23,53,0.8551401869158879,0.819698703279939,0.8688524590163934,0.6973684210526315,0.8934707903780069,0.7737226277372262,0.8335967090576166,0.8335967090576166,0.0,PASS,2.8272603000000007,0.8335967090576166,0.8335967090576166,0.0
glass1,214,9,0.0421,9,0,0,1,138,76,0.355,1.816,smote_tomek,SMOTE-Tomek,random_forest,125,13,21,55,0.8411214953271028,0.8147406559877957,0.8088235294117647,0.7236842105263158,0.880281690140845,0.763888888888889,0.8220852895148669,0.8220852895148669,0.0,PASS,2.275159000000002,0.8220852895148669,0.8335967090576166,-0.011511419542749701
glass1,214,9,0.0421,9,0,0,1,138,76,0.355,1.816,adasyn,ADASYN,random_forest,121,17,18,58,0.8364485981308412,0.8199847444698704,0.7733333333333333,0.7631578947368421,0.8736462093862816,0.7682119205298014,0.8209290649580414,0.8209290649580414,0.0,PASS,2.5798039000000017,0.8209290649580414,0.8335967090576166,-0.012667644099575215
glass1,214,9,0.0421,9,0,0,1,138,76,0.355,1.816,rus,Random Undersampling,random_forest,121,17,20,56,0.8271028037383178,0.8068268497330282,0.7671232876712328,0.7368421052631579,0.8673835125448028,0.7516778523489932,0.809530682446898,0.809530682446898,0.0,PASS,2.7094896000000013,0.809530682446898,0.8335967090576166,-0.02406602661071866
glass1,214,9,0.0421,9,0,0,1,138,76,0.355,1.816,smote_enn,SMOTE-ENN,random_forest,113,25,19,57,0.794392523364486,0.7844202898550725,0.6951219512195121,0.75,0.837037037037037,0.721518987341772,0.7792780121894045,0.7792780121894045,0.0,PASS,2.2103654000000006,0.7792780121894045,0.8335967090576166,-0.05431869686821211
glass1,214,9,0.0421,9,0,0,1,138,76,0.355,1.816,ros,Random Oversampling,xgboost,120,18,16,60,0.8411214953271028,0.8295194508009154,0.7692307692307693,0.7894736842105263,0.8759124087591241,0.7792207792207793,0.8275665939899517,0.8275665939899517,0.0,PASS,1.311605,0.8275665939899517,0.8174728889971976,0.010093704992754082
