dataset,classifier,number_of_resampling_strategies,actual_best_resampling,predicted_best_resampling,actual_best_macro_f1,predicted_choice_actual_macro_f1,regret,top1_correct,top3_correct,spearman,kendall,meta_model
ecoli-0_vs_1,decision_tree,7,smote_enn,none,0.9899488304093568,0.9702058504875406,0.019742979921816173,False,True,0.47708429822142295,0.4103913408340616,gradient_boosting
glass1,decision_tree,7,none,smote_enn,0.7609506833036244,0.6935513673318552,0.06739931597176918,False,True,0.0,0.10286889997472795,gradient_boosting
haberman,decision_tree,7,smote_enn,smote_enn,0.6397058823529411,0.6397058823529411,0.0,True,True,0.4865062298556019,0.39036002917941326,gradient_boosting
iris0,decision_tree,6,none|ros|rus|smote|smote_tomek|smote_enn,smote_enn,1.0,1.0,0.0,True,True,,,gradient_boosting
page-blocks0,decision_tree,7,none,adasyn,0.9124443797226672,0.897287077342479,0.015157302380188198,False,True,0.34235623582431246,0.29277002188455997,gradient_boosting
pima,decision_tree,7,smote_enn,none,0.7012961643040045,0.6715751896474788,0.02972097465652579,False,False,-0.41443123283995714,-0.39036002917941326,gradient_boosting
segment0,decision_tree,7,adasyn,none,0.989338507021434,0.9849535772068706,0.004384929814563399,False,True,0.3,0.25,gradient_boosting
shuttle-c0-vs-c4,decision_tree,6,none|ros|rus|smote|smote_tomek|smote_enn,none,1.0,1.0,0.0,True,True,,,gradient_boosting
vehicle2,decision_tree,7,none,smote_enn,0.9507111489807956,0.9317872737665,0.018923875214295616,False,True,0.41443123283995714,0.39036002917941326,gradient_boosting
vowel0,decision_tree,7,adasyn,none,0.8828029071650012,0.8512122885397319,0.03159061862526935,False,True,0.576923076923077,0.5000000000000001,gradient_boosting
wisconsin,decision_tree,7,none,smote_enn,0.953291215956496,0.9469512065958534,0.006340009360642607,False,True,0.37272727272727274,0.15,gradient_boosting
yeast1,decision_tree,7,none,smote_enn,0.6783822319268029,0.6692266519486466,0.009155579978156303,False,True,0.7412493166611013,0.6172133998483678,gradient_boosting
