fold,test_datasets,train_rows,test_rows,model,classifier
1,ecoli-0_vs_1,75,7,gradient_boosting,logistic_regression
2,glass1,75,7,gradient_boosting,logistic_regression
3,haberman,75,7,gradient_boosting,logistic_regression
4,iris0,76,6,gradient_boosting,logistic_regression
5,page-blocks0,75,7,gradient_boosting,logistic_regression
6,pima,75,7,gradient_boosting,logistic_regression
7,segment0,75,7,gradient_boosting,logistic_regression
8,shuttle-c0-vs-c4,76,6,gradient_boosting,logistic_regression
9,vehicle2,75,7,gradient_boosting,logistic_regression
10,vowel0,75,7,gradient_boosting,logistic_regression
11,wisconsin,75,7,gradient_boosting,logistic_regression
12,yeast1,75,7,gradient_boosting,logistic_regression
1,ecoli-0_vs_1,75,7,gradient_boosting,decision_tree
2,glass1,75,7,gradient_boosting,decision_tree
3,haberman,75,7,gradient_boosting,decision_tree
4,iris0,76,6,gradient_boosting,decision_tree
5,page-blocks0,75,7,gradient_boosting,decision_tree
6,pima,75,7,gradient_boosting,decision_tree
7,segment0,75,7,gradient_boosting,decision_tree
8,shuttle-c0-vs-c4,76,6,gradient_boosting,decision_tree
9,vehicle2,75,7,gradient_boosting,decision_tree
10,vowel0,75,7,gradient_boosting,decision_tree
11,wisconsin,75,7,gradient_boosting,decision_tree
12,yeast1,75,7,gradient_boosting,decision_tree
1,ecoli-0_vs_1,75,7,gradient_boosting,random_forest
2,glass1,75,7,gradient_boosting,random_forest
3,haberman,75,7,gradient_boosting,random_forest
4,iris0,76,6,gradient_boosting,random_forest
5,page-blocks0,75,7,gradient_boosting,random_forest
6,pima,75,7,gradient_boosting,random_forest
7,segment0,75,7,gradient_boosting,random_forest
8,shuttle-c0-vs-c4,76,6,gradient_boosting,random_forest
9,vehicle2,75,7,gradient_boosting,random_forest
10,vowel0,75,7,gradient_boosting,random_forest
11,wisconsin,75,7,gradient_boosting,random_forest
12,yeast1,75,7,gradient_boosting,random_forest
1,ecoli-0_vs_1,75,7,gradient_boosting,xgboost
2,glass1,75,7,gradient_boosting,xgboost
3,haberman,75,7,gradient_boosting,xgboost
4,iris0,76,6,gradient_boosting,xgboost
5,page-blocks0,75,7,gradient_boosting,xgboost
6,pima,75,7,gradient_boosting,xgboost
7,segment0,75,7,gradient_boosting,xgboost
8,shuttle-c0-vs-c4,76,6,gradient_boosting,xgboost
9,vehicle2,75,7,gradient_boosting,xgboost
10,vowel0,75,7,gradient_boosting,xgboost
11,wisconsin,75,7,gradient_boosting,xgboost
12,yeast1,75,7,gradient_boosting,xgboost
