dataset,classifier,number_of_resampling_strategies,actual_best_resampling,predicted_best_resampling,actual_best_macro_f1,predicted_choice_actual_macro_f1,regret,top1_correct,top3_correct,spearman,kendall,meta_model
ecoli-0_vs_1,random_forest,7,none|ros|smote_enn,smote,0.9899488304093568,0.9849695975951356,0.004979232814221191,False,True,0.05613608914238399,0.05292561240249632,gradient_boosting
glass1,random_forest,7,ros,smote_tomek,0.8572169916228037,0.8220852895148669,0.03513170210793681,False,False,0.16216874328520064,0.09759000729485331,gradient_boosting
haberman,random_forest,7,smote_enn,ros,0.655656819221685,0.5585256968641115,0.09713112235757349,False,False,-0.7041868508280462,-0.5143444998736398,gradient_boosting
iris0,random_forest,6,none|ros|rus|smote|smote_tomek|smote_enn,none,1.0,1.0,0.0,True,True,,,gradient_boosting
page-blocks0,random_forest,7,none,ros,0.9345174973488866,0.9336471989447792,0.0008702984041073503,False,False,0.18531232916527532,0.10286889997472795,gradient_boosting
pima,random_forest,7,smote_enn,adasyn,0.7431733533861193,0.7413054974030583,0.0018678559830610508,False,False,0.3335621924974956,0.3086066999241839,gradient_boosting
segment0,random_forest,7,adasyn,none,0.9964641357967948,0.9946556506999986,0.0018084850967962085,False,False,0.4113766756037212,0.42163702135578396,gradient_boosting
shuttle-c0-vs-c4,random_forest,6,none|ros|rus|smote|smote_tomek|smote_enn,none,1.0,1.0,0.0,True,True,,,gradient_boosting
vehicle2,random_forest,7,none,none,0.9860331250103184,0.9860331250103184,0.0,True,True,0.5765999761251578,0.4879500364742666,gradient_boosting
vowel0,random_forest,7,none,adasyn,0.9125866035090584,0.8618523657405914,0.05073423776846697,False,False,-0.23424374030084538,-0.19518001458970663,gradient_boosting
wisconsin,random_forest,7,smote_tomek,none,0.9760671661141908,0.9695724860430164,0.006494680071174375,False,False,0.3178819766028754,0.26352313834736496,gradient_boosting
yeast1,random_forest,7,smote_tomek,adasyn,0.7315821634877828,0.719338061465721,0.012244102022061831,False,True,0.4504687313477795,0.29277002188455997,gradient_boosting
