dataset,classifier,number_of_resampling_strategies,actual_best_resampling,predicted_best_resampling,actual_best_macro_f1,predicted_choice_actual_macro_f1,regret,top1_correct,top3_correct,spearman,kendall,meta_model
ecoli-0_vs_1,xgboost,7,smote_enn,adasyn,0.9899488304093568,0.975099037917374,0.014849792491982816,False,False,,,gradient_boosting
glass1,xgboost,7,ros,adasyn,0.8275665939899517,0.8194092827004219,0.00815731128952979,False,True,,,gradient_boosting
haberman,xgboost,7,smote_enn,smote_enn,0.6397174254317111,0.6397174254317111,0.0,True,True,,,gradient_boosting
iris0,xgboost,6,none|ros|rus|smote|smote_tomek|smote_enn,smote_enn,1.0,1.0,0.0,True,True,,,gradient_boosting
page-blocks0,xgboost,7,none,adasyn,0.9305993992368964,0.9126112189393464,0.017988180297550005,False,True,,,gradient_boosting
pima,xgboost,7,none,adasyn,0.7361390827659384,0.7304530785692559,0.005686004196682526,False,True,,,gradient_boosting
segment0,xgboost,7,none,none,0.992910361224468,0.992910361224468,0.0,True,True,,,gradient_boosting
shuttle-c0-vs-c4,xgboost,6,none|ros|smote|smote_tomek|smote_enn,none,1.0,1.0,0.0,True,True,,,gradient_boosting
vehicle2,xgboost,7,ros,adasyn,0.9815166808677984,0.9737762907181342,0.007740390149664211,False,True,,,gradient_boosting
vowel0,xgboost,7,adasyn,adasyn,0.9850906182564474,0.9850906182564474,0.0,True,True,,,gradient_boosting
wisconsin,xgboost,7,smote_enn,adasyn,0.9680009744944807,0.9614559819413092,0.006544992553171536,False,False,,,gradient_boosting
yeast1,xgboost,7,smote_tomek,adasyn,0.7104116832431071,0.7056528925619834,0.004758790681123726,False,False,,,gradient_boosting
