model,classifier,rows,datasets,mae,rmse,top1_resampling_accuracy,top3_resampling_accuracy,mean_spearman,mean_kendall,mean_regret,valid_spearman_sets,valid_kendall_sets
ridge,logistic_regression,82,12,0.07320751128356738,0.08807499906311544,0.16666666666666666,0.25,0.18856384718595373,0.14560615889691217,0.01296986044139368,8,8
ridge,decision_tree,82,12,0.01939426185091412,0.024650667512504578,0.16666666666666666,0.8333333333333334,0.3889386991784398,0.2956727305488369,0.022369008496164994,10,10
ridge,random_forest,82,12,0.02809196755330071,0.036582693126678466,0.16666666666666666,0.4166666666666667,-0.07022143327074201,-0.09046198378282108,0.02869618627966745,10,10
ridge,xgboost,82,12,0.018415907221553156,0.02391943657982347,0.16666666666666666,0.4166666666666667,0.08595833317479985,0.07368652297455623,0.012722043122556056,11,11
ridge,ALL,328,12,0.03477741197733385,0.05068356181119466,0.16666666666666666,0.4791666666666667,0.14464679747403605,0.10326944850142497,0.019189274584945546,39,39
random_forest,logistic_regression,82,12,0.04346572782234817,0.055850425156481115,0.25,0.25,0.010452066182521525,0.012953973037826111,0.023707998419294357,10,10
random_forest,decision_tree,82,12,0.01470324898136257,0.020825255706353674,0.3333333333333333,0.8333333333333334,0.3431447175678926,0.25577696499523467,0.014107346570701331,10,10
random_forest,random_forest,82,12,0.017808725341782825,0.02808652626692255,0.4166666666666667,0.75,0.24250095930320903,0.2015287250075136,0.014222135534902286,10,10
random_forest,xgboost,82,12,0.012737528030570011,0.020324074752940565,0.25,0.5,0.1582872480270896,0.16424214201937806,0.018109864416122973,11,11
random_forest,ALL,328,12,0.022178807544015893,0.03447782706936576,0.3125,0.5833333333333334,0.1878570038740053,0.15876244372241227,0.017536836235255236,41,41
gradient_boosting,logistic_regression,82,12,0.0423779493623247,0.05264958557485959,0.3333333333333333,0.5,0.20110043211093273,0.1611687598744479,0.010887400544462375,9,9
gradient_boosting,decision_tree,82,12,0.015856811432738937,0.021575312459330212,0.25,0.9166666666666666,0.3296846430212788,0.27136036917211304,0.016867965493602217,10,10
gradient_boosting,random_forest,82,12,0.01746394331143652,0.027853095564465025,0.25,0.4166666666666667,0.1555076122640998,0.13183469231948902,0.017605143052116606,10,10
gradient_boosting,xgboost,82,12,0.012725468895208888,0.019948923738326893,0.25,0.5,0.07556458684215767,0.04680021832559491,0.012327619414553884,11,11
gradient_boosting,ALL,328,12,0.022106043250427265,0.033208536025256356,0.2708333333333333,0.5833333333333334,0.18732592242789786,0.1499317963841899,0.014422032126183771,40,40
xgboost,logistic_regression,82,12,0.04144802452208362,0.05355251700349124,0.25,0.3333333333333333,0.11196680388378599,0.08407151485281185,0.02259851783142146,10,10
xgboost,decision_tree,82,12,0.01557132590631755,0.021971741875284775,0.25,0.75,0.24978406012183135,0.19287902158279774,0.015682737448973777,10,10
xgboost,random_forest,82,12,0.01841798607718663,0.028431681088218957,0.25,0.5833333333333334,-0.027633683834327055,-0.011999240075081885,0.02650333518001492,10,10
xgboost,xgboost,82,12,0.012792845634103338,0.019846932925890456,0.25,0.5,0.11084059623128444,0.09818351587570345,0.021535644247639586,11,11
xgboost,ALL,328,12,0.022057545534922784,0.0337375560559384,0.25,0.5416666666666666,0.11122971610383003,0.09096418629848817,0.021580058677012435,41,41
