dataset,classifier,number_of_resampling_strategies,actual_best_resampling,predicted_best_resampling,actual_best_macro_f1,predicted_choice_actual_macro_f1,regret,top1_correct,top3_correct,spearman,kendall,meta_model
ecoli-0_vs_1,logistic_regression,7,smote_tomek,adasyn,0.9849695975951356,0.9702058504875406,0.014763747107594982,False,False,0.0,0.0,random_forest
glass1,logistic_regression,7,smote_enn,smote_tomek,0.61023457900858,0.5958717610891524,0.014362817919427617,False,False,-0.3214285714285715,-0.23809523809523814,random_forest
haberman,logistic_regression,7,smote_enn,none,0.6425233644859814,0.5344040574809805,0.10811930700500083,False,False,-0.3214285714285715,-0.23809523809523814,random_forest
iris0,logistic_regression,6,none|ros|rus|smote|smote_tomek|smote_enn,none,1.0,1.0,0.0,True,True,,,random_forest
page-blocks0,logistic_regression,7,none,rus,0.847852850384496,0.8166609947249479,0.031191855659548073,False,False,-0.6071428571428572,-0.5238095238095238,random_forest
pima,logistic_regression,7,none,smote_tomek,0.737580065691888,0.7312941855432118,0.0062858801486762594,False,False,0.5714285714285715,0.4285714285714286,random_forest
segment0,logistic_regression,7,none,none,0.9946556506999986,0.9946556506999986,0.0,True,True,0.9456108576893005,0.85106449634699,random_forest
shuttle-c0-vs-c4,logistic_regression,6,none|ros|rus|smote|smote_tomek|smote_enn,none,0.9978126849919576,0.9978126849919576,0.0,True,True,,,random_forest
vehicle2,logistic_regression,7,ros,none,0.9518336381687104,0.942049967139062,0.009783671029648389,False,False,0.6306562238868914,0.39036002917941326,random_forest
vowel0,logistic_regression,7,none,ros,0.901351261399188,0.8862679992530422,0.015083262146145748,False,False,-0.30631873731649006,-0.29277002188455997,random_forest
wisconsin,logistic_regression,7,smote_enn,none,0.9680602319491208,0.9677556415824756,0.00030459036664520767,False,False,0.198206241793023,0.29277002188455997,random_forest
yeast1,logistic_regression,7,rus,none,0.6832967627521116,0.6456136985304575,0.03768306422165413,False,False,-0.03571428571428572,-0.04761904761904762,random_forest
