dataset,classifier,number_of_resampling_strategies,actual_best_resampling,predicted_best_resampling,actual_best_macro_f1,predicted_choice_actual_macro_f1,regret,top1_correct,top3_correct,spearman,kendall,meta_model
ecoli-0_vs_1,decision_tree,7,smote_enn,smote_enn,0.9899488304093568,0.9899488304093568,0.0,True,True,,,ridge
glass1,decision_tree,7,none,smote_enn,0.7609506833036244,0.6935513673318552,0.06739931597176918,False,True,,,ridge
haberman,decision_tree,7,smote_enn,none,0.6397058823529411,0.5658193101802125,0.07388657217272865,False,True,,,ridge
iris0,decision_tree,6,none|ros|rus|smote|smote_tomek|smote_enn,smote_enn,1.0,1.0,0.0,True,True,,,ridge
page-blocks0,decision_tree,7,none,smote_enn,0.9124443797226672,0.9041625104634836,0.008281869259183616,False,True,,,ridge
pima,decision_tree,7,smote_enn,none,0.7012961643040045,0.6715751896474788,0.02972097465652579,False,True,,,ridge
segment0,decision_tree,7,adasyn,smote_enn,0.989338507021434,0.9867904896103882,0.002548017411045822,False,False,,,ridge
shuttle-c0-vs-c4,decision_tree,6,none|ros|rus|smote|smote_tomek|smote_enn,smote_enn,1.0,1.0,0.0,True,True,,,ridge
vehicle2,decision_tree,7,none,smote_enn,0.9507111489807956,0.9317872737665,0.018923875214295616,False,True,,,ridge
vowel0,decision_tree,7,smote_enn,smote_enn,0.955700761934938,0.955700761934938,0.0,True,True,,,ridge
wisconsin,decision_tree,7,none,smote_enn,0.953291215956496,0.9469512065958534,0.006340009360642607,False,True,,,ridge
yeast1,decision_tree,7,none,smote_enn,0.6783822319268029,0.6692266519486466,0.009155579978156303,False,True,,,ridge
