dataset,classifier,number_of_resampling_strategies,actual_best_resampling,predicted_best_resampling,actual_best_macro_f1,predicted_choice_actual_macro_f1,regret,top1_correct,top3_correct,spearman,kendall,meta_model
ecoli-0_vs_1,logistic_regression,7,smote_tomek,adasyn,0.9849695975951356,0.9702058504875406,0.014763747107594982,False,False,,,ridge
glass1,logistic_regression,7,smote_enn,smote_tomek,0.61023457900858,0.5958717610891524,0.014362817919427617,False,False,0.3214285714285715,0.14285714285714288,ridge
haberman,logistic_regression,7,smote_enn,smote,0.6425233644859814,0.625339366515837,0.01718399797014436,False,False,0.0,0.04761904761904762,ridge
iris0,logistic_regression,6,none|ros|rus|smote|smote_tomek|smote_enn,none,1.0,1.0,0.0,True,True,,,ridge
page-blocks0,logistic_regression,7,none,smote,0.847852850384496,0.8268462492184768,0.021006601166019157,False,False,-0.07142857142857144,-0.04761904761904762,ridge
pima,logistic_regression,7,none,smote_tomek,0.737580065691888,0.7312941855432118,0.0062858801486762594,False,False,0.28571428571428575,0.23809523809523814,ridge
segment0,logistic_regression,7,none,smote,0.9946556506999986,0.9937886933150024,0.0008669573849962031,False,False,0.43643578047198484,0.45056355688958294,ridge
shuttle-c0-vs-c4,logistic_regression,6,none|ros|rus|smote|smote_tomek|smote_enn,smote,0.9978126849919576,0.9978126849919576,0.0,True,True,,,ridge
vehicle2,logistic_regression,7,ros,smote,0.9518336381687104,0.9428024453253436,0.009031192843366731,False,True,0.594618725379069,0.39036002917941326,ridge
vowel0,logistic_regression,7,none,smote,0.8552891556541312,0.7964026023727517,0.05888655328137948,False,False,-0.5225437283634242,-0.39036002917941326,ridge
wisconsin,logistic_regression,7,smote_enn,adasyn,0.9680602319491208,0.9634355542624382,0.004624677686682621,False,False,,,ridge
yeast1,logistic_regression,7,rus,smote,0.6832967627521116,0.6746708629636748,0.008625899788436753,False,False,0.4642857142857144,0.33333333333333337,ridge
