dataset,classifier,number_of_resampling_strategies,actual_best_resampling,predicted_best_resampling,actual_best_macro_f1,predicted_choice_actual_macro_f1,regret,top1_correct,top3_correct,spearman,kendall,meta_model
ecoli-0_vs_1,random_forest,7,none|ros|smote_enn,adasyn,0.9899488304093568,0.975099037917374,0.014849792491982816,False,True,-0.2993924754260479,-0.2646280620124816,ridge
glass1,random_forest,7,ros,smote_enn,0.8572169916228037,0.7792780121894045,0.07793897943339922,False,False,-0.3214285714285715,-0.23809523809523814,ridge
haberman,random_forest,7,smote_enn,ros,0.655656819221685,0.5585256968641115,0.09713112235757349,False,False,-0.7142857142857144,-0.5238095238095238,ridge
iris0,random_forest,6,none|ros|rus|smote|smote_tomek|smote_enn,none,1.0,1.0,0.0,True,True,,,ridge
page-blocks0,random_forest,7,none,adasyn,0.9345174973488866,0.9151290368262402,0.01938846052264631,False,False,0.0,-0.04761904761904762,ridge
pima,random_forest,7,smote_enn,adasyn,0.7431733533861193,0.7413054974030583,0.0018678559830610508,False,False,0.5357142857142858,0.4285714285714286,ridge
segment0,random_forest,7,adasyn,adasyn,0.9964641357967948,0.9964641357967948,0.0,True,True,0.5188745216627708,0.4114755998989118,ridge
shuttle-c0-vs-c4,random_forest,6,none|ros|rus|smote|smote_tomek|smote_enn,ros,1.0,1.0,0.0,True,True,,,ridge
vehicle2,random_forest,7,none,adasyn,0.9860331250103184,0.9799465752550438,0.006086549755274562,False,False,-0.07142857142857144,-0.04761904761904762,ridge
vowel0,random_forest,7,adasyn,adasyn,0.9939480809046026,0.9939480809046026,0.0,True,True,0.792824967172092,0.6831300510639733,ridge
wisconsin,random_forest,7,smote_tomek,adasyn,0.9760671661141908,0.9664322407760628,0.009634925338127931,False,True,-0.41443123283995714,-0.29277002188455997,ridge
yeast1,random_forest,7,smote_tomek,smote_enn,0.7315821634877828,0.692720050732675,0.03886211275510787,False,False,-0.10714285714285716,-0.14285714285714288,ridge
