dataset,classifier,number_of_resampling_strategies,actual_best_resampling,predicted_best_resampling,actual_best_macro_f1,predicted_choice_actual_macro_f1,regret,top1_correct,top3_correct,spearman,kendall,meta_model
ecoli-0_vs_1,xgboost,7,smote_enn,adasyn,0.9899488304093568,0.975099037917374,0.014849792491982816,False,False,-0.37435244296357284,-0.2817180849095055,ridge
glass1,xgboost,7,ros,adasyn,0.8275665939899517,0.8194092827004219,0.00815731128952979,False,True,-0.28571428571428575,-0.14285714285714288,ridge
haberman,xgboost,7,smote_enn,ros,0.6397174254317111,0.557703783267693,0.08201364216401807,False,False,-0.7857142857142859,-0.6190476190476191,ridge
iris0,xgboost,6,none|ros|rus|smote|smote_tomek|smote_enn,none,1.0,1.0,0.0,True,True,,,ridge
page-blocks0,xgboost,7,none,adasyn,0.9305993992368964,0.9126112189393464,0.017988180297550005,False,False,0.4642857142857144,0.33333333333333337,ridge
pima,xgboost,7,none,adasyn,0.7361390827659384,0.7304530785692559,0.005686004196682526,False,False,0.21428571428571433,0.14285714285714288,ridge
segment0,xgboost,7,none,adasyn,0.992910361224468,0.9902640793691516,0.002646281855316346,False,True,0.41443123283995714,0.39036002917941326,ridge
shuttle-c0-vs-c4,xgboost,6,none|ros|smote|smote_tomek|smote_enn,ros,1.0,1.0,0.0,True,True,0.6546536707079772,0.5773502691896257,ridge
vehicle2,xgboost,7,ros,adasyn,0.9815166808677984,0.9737762907181342,0.007740390149664211,False,True,0.5,0.33333333333333337,ridge
vowel0,xgboost,7,none,adasyn,0.9107273731238392,0.9084482413322056,0.0022791317916336373,False,False,0.7041868508280462,0.6172133998483678,ridge
wisconsin,xgboost,7,smote_enn,adasyn,0.9680009744944807,0.9614559819413092,0.006544992553171536,False,False,-0.7748062179181807,-0.6831300510639733,ridge
yeast1,xgboost,7,smote_tomek,adasyn,0.7104116832431071,0.7056528925619834,0.004758790681123726,False,False,0.21428571428571433,0.14285714285714288,ridge
