fold,test_datasets,train_rows,test_rows,model,classifier
1,ecoli-0_vs_1,75,7,xgboost,logistic_regression
2,glass1,75,7,xgboost,logistic_regression
3,haberman,75,7,xgboost,logistic_regression
4,iris0,76,6,xgboost,logistic_regression
5,page-blocks0,75,7,xgboost,logistic_regression
6,pima,75,7,xgboost,logistic_regression
7,segment0,75,7,xgboost,logistic_regression
8,shuttle-c0-vs-c4,76,6,xgboost,logistic_regression
9,vehicle2,75,7,xgboost,logistic_regression
10,vowel0,75,7,xgboost,logistic_regression
11,wisconsin,75,7,xgboost,logistic_regression
12,yeast1,75,7,xgboost,logistic_regression
1,ecoli-0_vs_1,75,7,xgboost,decision_tree
2,glass1,75,7,xgboost,decision_tree
3,haberman,75,7,xgboost,decision_tree
4,iris0,76,6,xgboost,decision_tree
5,page-blocks0,75,7,xgboost,decision_tree
6,pima,75,7,xgboost,decision_tree
7,segment0,75,7,xgboost,decision_tree
8,shuttle-c0-vs-c4,76,6,xgboost,decision_tree
9,vehicle2,75,7,xgboost,decision_tree
10,vowel0,75,7,xgboost,decision_tree
11,wisconsin,75,7,xgboost,decision_tree
12,yeast1,75,7,xgboost,decision_tree
1,ecoli-0_vs_1,75,7,xgboost,random_forest
2,glass1,75,7,xgboost,random_forest
3,haberman,75,7,xgboost,random_forest
4,iris0,76,6,xgboost,random_forest
5,page-blocks0,75,7,xgboost,random_forest
6,pima,75,7,xgboost,random_forest
7,segment0,75,7,xgboost,random_forest
8,shuttle-c0-vs-c4,76,6,xgboost,random_forest
9,vehicle2,75,7,xgboost,random_forest
10,vowel0,75,7,xgboost,random_forest
11,wisconsin,75,7,xgboost,random_forest
12,yeast1,75,7,xgboost,random_forest
1,ecoli-0_vs_1,75,7,xgboost,xgboost
2,glass1,75,7,xgboost,xgboost
3,haberman,75,7,xgboost,xgboost
4,iris0,76,6,xgboost,xgboost
5,page-blocks0,75,7,xgboost,xgboost
6,pima,75,7,xgboost,xgboost
7,segment0,75,7,xgboost,xgboost
8,shuttle-c0-vs-c4,76,6,xgboost,xgboost
9,vehicle2,75,7,xgboost,xgboost
10,vowel0,75,7,xgboost,xgboost
11,wisconsin,75,7,xgboost,xgboost
12,yeast1,75,7,xgboost,xgboost
