dataset,classifier,number_of_resampling_strategies,actual_best_resampling,predicted_best_resampling,actual_best_macro_f1,predicted_choice_actual_macro_f1,regret,top1_correct,top3_correct,spearman,kendall,meta_model
ecoli-0_vs_1,logistic_regression,7,smote_tomek,smote_enn,0.9849695975951356,0.9649290610553164,0.020040536539819187,False,True,-0.198206241793023,-0.09759000729485331,xgboost
glass1,logistic_regression,7,smote_enn,none,0.61023457900858,0.5015185021376971,0.10871607687088292,False,False,-0.42857142857142866,-0.33333333333333337,xgboost
haberman,logistic_regression,7,smote_enn,smote,0.6425233644859814,0.625339366515837,0.01718399797014436,False,False,0.39285714285714296,0.23809523809523814,xgboost
iris0,logistic_regression,6,none|ros|rus|smote|smote_tomek|smote_enn,none,1.0,1.0,0.0,True,True,,,xgboost
page-blocks0,logistic_regression,7,none,rus,0.847852850384496,0.8166609947249479,0.031191855659548073,False,False,-0.21428571428571433,-0.33333333333333337,xgboost
pima,logistic_regression,7,none,rus,0.737580065691888,0.7216912081288213,0.015888857563066794,False,False,-0.07412493166611013,-0.10286889997472795,xgboost
segment0,logistic_regression,7,none,none,0.9946556506999986,0.9946556506999986,0.0,True,True,0.7819474400123061,0.6508140266182865,xgboost
shuttle-c0-vs-c4,logistic_regression,6,none|ros|rus|smote|smote_tomek|smote_enn,none,0.9978126849919576,0.9978126849919576,0.0,True,True,,,xgboost
vehicle2,logistic_regression,7,ros,none,0.9518336381687104,0.942049967139062,0.009783671029648389,False,False,0.2522624895547565,0.19518001458970663,xgboost
vowel0,logistic_regression,7,none,smote,0.8552891556541312,0.7964026023727517,0.05888655328137948,False,False,0.01801874925391118,0.09759000729485331,xgboost
wisconsin,logistic_regression,7,smote_enn,smote_tomek,0.9680602319491208,0.9663060713908171,0.0017541605583036857,False,False,0.054056247761733546,0.09759000729485331,xgboost
yeast1,logistic_regression,7,rus,smote_tomek,0.6832967627521116,0.6755602582478469,0.007736504504264663,False,False,0.5357142857142858,0.4285714285714286,xgboost
