dataset,classifier,number_of_resampling_strategies,actual_best_resampling,predicted_best_resampling,actual_best_macro_f1,predicted_choice_actual_macro_f1,regret,top1_correct,top3_correct,spearman,kendall,meta_model
ecoli-0_vs_1,random_forest,7,none|ros|smote_enn,adasyn,0.9899488304093568,0.975099037917374,0.014849792491982816,False,True,-0.20583232685540795,-0.15877683720748895,xgboost
glass1,random_forest,7,ros,none,0.8572169916228037,0.8335967090576166,0.023620282565187112,False,True,0.1785714285714286,0.14285714285714288,xgboost
haberman,random_forest,7,smote_enn,smote_tomek,0.655656819221685,0.5701550597006861,0.08550175952099881,False,False,-0.642857142857143,-0.4285714285714286,xgboost
iris0,random_forest,6,none|ros|rus|smote|smote_tomek|smote_enn,none,1.0,1.0,0.0,True,True,,,xgboost
page-blocks0,random_forest,7,none,smote_tomek,0.9345174973488866,0.9258422617863128,0.008675235562573769,False,False,0.3571428571428572,0.14285714285714288,xgboost
pima,random_forest,7,smote_enn,smote_tomek,0.7431733533861193,0.7390417940876657,0.0041315592984536575,False,False,0.10714285714285716,0.04761904761904762,xgboost
segment0,random_forest,7,adasyn,ros,0.9964641357967948,0.9920342467565786,0.004429889040216239,False,False,0.5188745216627708,0.4114755998989118,xgboost
shuttle-c0-vs-c4,random_forest,6,none|ros|rus|smote|smote_tomek|smote_enn,none,1.0,1.0,0.0,True,True,,,xgboost
vehicle2,random_forest,7,none,adasyn,0.9860331250103184,0.9799465752550438,0.006086549755274562,False,False,0.10714285714285716,0.04761904761904762,xgboost
vowel0,random_forest,7,adasyn,adasyn,0.9939480809046026,0.9939480809046026,0.0,True,True,0.6306562238868914,0.48795003647426666,xgboost
wisconsin,random_forest,7,smote_tomek,adasyn,0.9760671661141908,0.9664322407760628,0.009634925338127931,False,True,-0.10811249552346709,-0.09759000729485331,xgboost
yeast1,random_forest,7,smote_tomek,smote_enn,0.7315821634877828,0.692720050732675,0.03886211275510787,False,False,-0.5,-0.4285714285714286,xgboost
