dataset,classifier,number_of_resampling_strategies,actual_best_resampling,predicted_best_resampling,actual_best_macro_f1,predicted_choice_actual_macro_f1,regret,top1_correct,top3_correct,spearman,kendall,meta_model
ecoli-0_vs_1,xgboost,7,smote_enn,adasyn,0.9899488304093568,0.975099037917374,0.014849792491982816,False,False,-0.5122717640554155,-0.3944053188733077,xgboost
glass1,xgboost,7,ros,smote_enn,0.8275665939899517,0.733424213223024,0.09414238076692771,False,True,-0.21428571428571433,-0.14285714285714288,xgboost
haberman,xgboost,7,smote_enn,ros,0.6397174254317111,0.557703783267693,0.08201364216401807,False,True,-0.03571428571428572,0.04761904761904762,xgboost
iris0,xgboost,6,none|ros|rus|smote|smote_tomek|smote_enn,none,1.0,1.0,0.0,True,True,,,xgboost
page-blocks0,xgboost,7,none,adasyn,0.9305993992368964,0.9126112189393464,0.017988180297550005,False,False,0.39285714285714296,0.23809523809523814,xgboost
pima,xgboost,7,none,ros,0.7361390827659384,0.7333994545003719,0.002739628265566507,False,False,-0.07142857142857144,-0.04761904761904762,xgboost
segment0,xgboost,7,none,none,0.992910361224468,0.992910361224468,0.0,True,True,0.9549937104572924,0.8783100656536799,xgboost
shuttle-c0-vs-c4,xgboost,6,none|ros|smote|smote_tomek|smote_enn,none,1.0,1.0,0.0,True,True,0.6546536707079772,0.5773502691896257,xgboost
vehicle2,xgboost,7,ros,none,0.9815166808677984,0.9767920335774832,0.004724647290315187,False,True,0.10714285714285716,0.04761904761904762,xgboost
vowel0,xgboost,7,none,ros,0.9107273731238392,0.9038134808101173,0.00691389231372197,False,False,0.555936987495826,0.4114755998989118,xgboost
wisconsin,xgboost,7,smote_enn,ros,0.9680009744944807,0.9615290738063498,0.0064719006881309715,False,False,-0.6126374746329801,-0.48795003647426666,xgboost
yeast1,xgboost,7,smote_tomek,smote_enn,0.7104116832431071,0.6818280165496453,0.028583666693461796,False,False,0.0,-0.04761904761904762,xgboost
