fold,test_dataset,validation_dataset_1,validation_dataset_2,train_datasets,train_count,validation_count,test_count
1,pima,segment0,iris0,vowel0|ecoli-0_vs_1|yeast1|vehicle2|wisconsin|haberman|shuttle-c0-vs-c4|glass1|page-blocks0,9,2,1
2,segment0,iris0,vowel0,pima|ecoli-0_vs_1|yeast1|vehicle2|wisconsin|haberman|shuttle-c0-vs-c4|glass1|page-blocks0,9,2,1
3,iris0,vowel0,ecoli-0_vs_1,pima|segment0|yeast1|vehicle2|wisconsin|haberman|shuttle-c0-vs-c4|glass1|page-blocks0,9,2,1
4,vowel0,ecoli-0_vs_1,yeast1,pima|segment0|iris0|vehicle2|wisconsin|haberman|shuttle-c0-vs-c4|glass1|page-blocks0,9,2,1
5,ecoli-0_vs_1,yeast1,vehicle2,pima|segment0|iris0|vowel0|wisconsin|haberman|shuttle-c0-vs-c4|glass1|page-blocks0,9,2,1
6,yeast1,vehicle2,wisconsin,pima|segment0|iris0|vowel0|ecoli-0_vs_1|haberman|shuttle-c0-vs-c4|glass1|page-blocks0,9,2,1
7,vehicle2,wisconsin,haberman,pima|segment0|iris0|vowel0|ecoli-0_vs_1|yeast1|shuttle-c0-vs-c4|glass1|page-blocks0,9,2,1
8,wisconsin,haberman,shuttle-c0-vs-c4,pima|segment0|iris0|vowel0|ecoli-0_vs_1|yeast1|vehicle2|glass1|page-blocks0,9,2,1
9,haberman,shuttle-c0-vs-c4,glass1,pima|segment0|iris0|vowel0|ecoli-0_vs_1|yeast1|vehicle2|wisconsin|page-blocks0,9,2,1
10,shuttle-c0-vs-c4,glass1,page-blocks0,pima|segment0|iris0|vowel0|ecoli-0_vs_1|yeast1|vehicle2|wisconsin|haberman,9,2,1
11,glass1,page-blocks0,pima,segment0|iris0|vowel0|ecoli-0_vs_1|yeast1|vehicle2|wisconsin|haberman|shuttle-c0-vs-c4,9,2,1
12,page-blocks0,pima,segment0,iris0|vowel0|ecoli-0_vs_1|yeast1|vehicle2|wisconsin|haberman|shuttle-c0-vs-c4|glass1,9,2,1
