fold,classifier,test_dataset,selected_meta_model,validation_mae,validation_rmse
1,logistic_regression,pima,gradient_boosting,0.03802805832788393,0.049627734004553226
1,decision_tree,pima,ridge,0.012639382408611361,0.014574881317078419
1,random_forest,pima,random_forest,0.025826419786413576,0.035362841086689495
1,xgboost,pima,xgboost,0.011662233709882204,0.01399706058900908
2,logistic_regression,segment0,gradient_boosting,0.06279759338582848,0.06765992222387247
2,decision_tree,segment0,ridge,0.011818492336385525,0.016277958270901616
2,random_forest,segment0,ridge,0.028048749106076472,0.03204138953579926
2,xgboost,segment0,xgboost,0.014302657583798412,0.016432005689642593
3,logistic_regression,iris0,xgboost,0.0647115431039422,0.07074784714295103
3,decision_tree,iris0,random_forest,0.01592006365702753,0.021456373587015652
3,random_forest,iris0,random_forest,0.015307692091643748,0.020939463535895184
3,xgboost,iris0,random_forest,0.010375644050532415,0.016667294670818972
4,logistic_regression,vowel0,xgboost,0.02063754785588042,0.02566121562442701
4,decision_tree,vowel0,xgboost,0.012122779976349174,0.014431178635921763
4,random_forest,vowel0,ridge,0.006971435356062932,0.00980173047329866
4,xgboost,vowel0,gradient_boosting,0.00806043932124287,0.009944406535181156
5,logistic_regression,ecoli-0_vs_1,gradient_boosting,0.019931210211678985,0.02317028229483371
5,decision_tree,ecoli-0_vs_1,xgboost,0.010918991401423089,0.01354518427894906
5,random_forest,ecoli-0_vs_1,gradient_boosting,0.006611977209894117,0.00902396620066247
5,xgboost,ecoli-0_vs_1,random_forest,0.009233557466481643,0.011093094139808319
6,logistic_regression,yeast1,xgboost,0.020025809333884502,0.025805449516394057
6,decision_tree,yeast1,xgboost,0.011269087849334839,0.013541172116932822
6,random_forest,yeast1,gradient_boosting,0.006555951309592138,0.007390929405332599
6,xgboost,yeast1,xgboost,0.005206852107649085,0.0063194408598395415
7,logistic_regression,vehicle2,random_forest,0.03894460644587191,0.05545907352671891
7,decision_tree,vehicle2,xgboost,0.017101809510492595,0.025604940991518138
7,random_forest,vehicle2,xgboost,0.026424689614414,0.04384349282715977
7,xgboost,vehicle2,xgboost,0.017257602694275048,0.029494842712652358
8,logistic_regression,wisconsin,gradient_boosting,0.06306182528742622,0.06957052685702808
8,decision_tree,wisconsin,random_forest,0.01736523276952015,0.026849527152521917
8,random_forest,wisconsin,gradient_boosting,0.037404799738396326,0.05004338567946688
8,xgboost,wisconsin,gradient_boosting,0.02206617716875054,0.0329307720911857
9,logistic_regression,haberman,random_forest,0.06526417679326642,0.07330184705523203
9,decision_tree,haberman,ridge,0.013699184032684757,0.022469398146235678
9,random_forest,haberman,xgboost,0.017502520508348732,0.022291031628222737
9,xgboost,haberman,gradient_boosting,0.016135256200312687,0.027033429001688564
10,logistic_regression,shuttle-c0-vs-c4,gradient_boosting,0.04742007816514421,0.06518696306684052
10,decision_tree,shuttle-c0-vs-c4,gradient_boosting,0.018052321294963154,0.026513575181062822
10,random_forest,shuttle-c0-vs-c4,gradient_boosting,0.014560897917189992,0.020393935422654563
10,xgboost,shuttle-c0-vs-c4,xgboost,0.012712513786000886,0.026045818341199962
11,logistic_regression,glass1,random_forest,0.01964237896802671,0.026498965304882858
11,decision_tree,glass1,random_forest,0.012852625372629583,0.017563741425721348
11,random_forest,glass1,gradient_boosting,0.010116442321350073,0.016414736213925005
11,xgboost,glass1,random_forest,0.008661052603641303,0.011108307394666396
12,logistic_regression,page-blocks0,random_forest,0.008181570182736965,0.011568271315921823
12,decision_tree,page-blocks0,gradient_boosting,0.011641126801069929,0.014684871767586203
12,random_forest,page-blocks0,gradient_boosting,0.003172342477585765,0.003857041561895463
12,xgboost,page-blocks0,random_forest,0.004067507322823699,0.005555914531373987
