dataset,resampling_code,resampling,classifier,samples,features,numeric_features,categorical_features,safe_k_neighbors,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1_class_0_math,f1_class_1_math,macro_f1_code,macro_f1_math,metric_error,verification,failure_reason,execution_time_seconds
page-blocks0,none,No Resampling,logistic_regression,5472,10,10,0,5,4840,73,201,358,0.9499269005847953,0.8127853997663095,0.8306264501160093,0.6404293381037567,0.9724733775366687,0.7232323232323232,0.847852850384496,0.847852850384496,0.0,PASS,,0.5377964999999989
page-blocks0,smote_enn,SMOTE-ENN,logistic_regression,5472,10,10,0,5,4533,380,46,513,0.9221491228070176,0.9201821897801714,0.574468085106383,0.9177101967799642,0.9551201011378002,0.706611570247934,0.8308658356928671,0.8308658356928671,0.0,PASS,,2.7640527000000006
page-blocks0,ros,Random Oversampling,logistic_regression,5472,10,10,0,5,4548,365,60,499,0.9223318713450293,0.909186390602567,0.5775462962962963,0.8926654740608229,0.9553618317403634,0.7013352073085031,0.8283485195244332,0.8283485195244332,0.0,PASS,,0.7572580000000002
page-blocks0,smote,SMOTE,logistic_regression,5472,10,10,0,5,4543,370,60,499,0.9214181286549707,0.9086775365419115,0.5742232451093211,0.8926654740608229,0.9548129466162253,0.6988795518207284,0.8268462492184768,0.8268462492184768,0.0,PASS,,0.8389156999999994
page-blocks0,smote_tomek,SMOTE-Tomek,logistic_regression,5472,10,10,0,5,4541,372,59,500,0.921235380116959,0.9093684493004759,0.573394495412844,0.8944543828264758,0.9546935772101335,0.6988120195667364,0.826752798388435,0.826752798388435,0.0,PASS,,3.0067779000000012
page-blocks0,rus,Random Undersampling,logistic_regression,5472,10,10,0,5,4524,389,69,490,0.9163011695906432,0.8986938016659827,0.5574516496018203,0.8765652951699463,0.9518199032190195,0.6815020862308762,0.8166609947249479,0.8166609947249479,0.0,PASS,,0.23950590000000105
page-blocks0,adasyn,ADASYN,logistic_regression,5472,10,10,0,5,4283,630,28,531,0.8797514619883041,0.9108396656382778,0.4573643410852713,0.9499105545617174,0.928664353859497,0.6174418604651163,0.7730531071623066,0.7730531071623066,0.0,PASS,,1.2520654999999987
page-blocks0,none,No Resampling,decision_tree,5472,10,10,0,5,4816,97,81,478,0.9674707602339181,0.9176774262143406,0.831304347826087,0.855098389982111,0.981855249745158,0.8430335097001764,0.9124443797226672,0.9124443797226672,0.0,PASS,,0.5181287999999995
page-blocks0,ros,Random Oversampling,decision_tree,5472,10,10,0,5,4824,89,95,464,0.966374269005848,0.9059692313518186,0.8390596745027125,0.8300536672629696,0.9812855980471928,0.8345323741007193,0.9079089860739561,0.9079089860739561,0.0,PASS,,0.6405364999999996
page-blocks0,smote_tomek,SMOTE-Tomek,decision_tree,5472,10,10,0,5,4766,147,56,503,0.9629020467836257,0.9349502451784485,0.7738461538461539,0.8998211091234347,0.9791474062660503,0.8320926385442514,0.9056200224051509,0.9056200224051509,0.0,PASS,,1.823020500000002
page-blocks0,smote_enn,SMOTE-ENN,decision_tree,5472,10,10,0,5,4734,179,35,524,0.9608918128654971,0.9504771212296099,0.7453769559032717,0.9373881932021467,0.977897128692419,0.8304278922345483,0.9041625104634836,0.9041625104634836,0.0,PASS,,2.3035964
