model,classifier,rows,datasets,mae,rmse,mean_spearman,mean_kendall,mean_regret,top1_resampling_accuracy_percent,top3_resampling_accuracy_percent
ridge,logistic_regression,82,12,0.0732075112835673,0.0880749990631154,0.1885638471859537,0.1456061588969121,0.0129698604413936,16.66666666666666,25.0
ridge,decision_tree,82,12,0.0193942618509141,0.0246506675125045,0.3889386991784398,0.2956727305488369,0.0223690084961649,16.66666666666666,83.33333333333334
ridge,random_forest,82,12,0.0280919675533007,0.0365826931266784,-0.070221433270742,-0.090461983782821,0.0286961862796674,16.66666666666666,41.66666666666667
ridge,xgboost,82,12,0.0184159072215531,0.0239194365798234,0.0859583331747998,0.0736865229745562,0.012722043122556,16.66666666666666,41.66666666666667
ridge,ALL,328,12,0.0347774119773338,0.0506835618111946,0.144646797474036,0.1032694485014249,0.0191892745849455,16.66666666666666,47.91666666666667
random_forest,logistic_regression,82,12,0.0434657278223481,0.0558504251564811,0.0104520661825215,0.0129539730378261,0.0237079984192943,25.0,25.0
random_forest,decision_tree,82,12,0.0147032489813625,0.0208252557063536,0.3431447175678926,0.2557769649952346,0.0141073465707013,33.33333333333333,83.33333333333334
random_forest,random_forest,82,12,0.0178087253417828,0.0280865262669225,0.242500959303209,0.2015287250075136,0.0142221355349022,41.66666666666667,75.0
random_forest,xgboost,82,12,0.01273752803057,0.0203240747529405,0.1582872480270896,0.164242142019378,0.0181098644161229,25.0,50.0
random_forest,ALL,328,12,0.0221788075440158,0.0344778270693657,0.1878570038740053,0.1587624437224122,0.0175368362352552,31.25,58.333333333333336
gradient_boosting,logistic_regression,82,12,0.0423779493623247,0.0526495855748595,0.2011004321109327,0.1611687598744479,0.0108874005444623,33.33333333333333,50.0
gradient_boosting,decision_tree,82,12,0.0158568114327389,0.0215753124593302,0.3296846430212788,0.271360369172113,0.0168679654936022,25.0,91.66666666666666
gradient_boosting,random_forest,82,12,0.0174639433114365,0.027853095564465,0.1555076122640998,0.131834692319489,0.0176051430521166,25.0,41.66666666666667
gradient_boosting,xgboost,82,12,0.0127254688952088,0.0199489237383268,0.0755645868421576,0.0468002183255949,0.0123276194145538,25.0,50.0
gradient_boosting,ALL,328,12,0.0221060432504272,0.0332085360252563,0.1873259224278978,0.1499317963841899,0.0144220321261837,27.083333333333332,58.333333333333336
xgboost,logistic_regression,82,12,0.0414480245220836,0.0535525170034912,0.1119668038837859,0.0840715148528118,0.0225985178314214,25.0,33.33333333333333
xgboost,decision_tree,82,12,0.0155713259063175,0.0219717418752847,0.2497840601218313,0.1928790215827977,0.0156827374489737,25.0,75.0
xgboost,random_forest,82,12,0.0184179860771866,0.0284316810882189,-0.027633683834327,-0.0119992400750818,0.0265033351800149,25.0,58.333333333333336
xgboost,xgboost,82,12,0.0127928456341033,0.0198469329258904,0.1108405962312844,0.0981835158757034,0.0215356442476395,25.0,50.0
xgboost,ALL,328,12,0.0220575455349227,0.0337375560559384,0.11122971610383,0.0909641862984881,0.0215800586770124,25.0,54.166666666666664
