meta_model,classifier,datasets,mean_baseline_macro_f1,mean_selected_macro_f1,mean_oracle_macro_f1,mean_selected_improvement,mean_oracle_improvement,mean_gap_to_oracle,mean_regret,top1_accuracy_percent,top3_accuracy_percent
gradient_boosting,decision_tree,12,0.858295489662685,0.8547046971016581,0.8715726625952603,-0.0035907925610269,0.0132771729325752,0.0168679654936022,0.0168679654936021,25.0,91.66666666666666
gradient_boosting,logistic_regression,12,0.8337024945926549,0.8452883145707135,0.8561757151151759,0.0115858199780587,0.0224732205225211,0.0108874005444623,0.0108874005444623,33.33333333333333,50.0
gradient_boosting,random_forest,12,0.8826875725185327,0.8809987474401332,0.8986038904922498,-0.0016888250783995,0.015916317973717,0.0176051430521166,0.0176051430521165,25.0,41.66666666666667
gradient_boosting,xgboost,12,0.8798558348490212,0.8783005809844084,0.8906282003989623,-0.0015552538646127,0.010772365549941,0.0123276194145538,0.0123276194145538,25.0,50.0
random_forest,decision_tree,12,0.858295489662685,0.857465316024559,0.8715726625952603,-0.000830173638126,0.0132771729325752,0.0141073465707013,0.0141073465707012,33.33333333333333,83.33333333333334
random_forest,logistic_regression,12,0.8337024945926549,0.8324677166958816,0.8561757151151759,-0.0012347778967732,0.0224732205225211,0.0237079984192943,0.0237079984192943,25.0,25.0
random_forest,random_forest,12,0.8826875725185327,0.8843817549573475,0.8986038904922498,0.0016941824388147,0.015916317973717,0.0142221355349022,0.0142221355349022,41.66666666666667,75.0
random_forest,xgboost,12,0.8798558348490212,0.8725183359828393,0.8906282003989623,-0.0073374988661818,0.010772365549941,0.0181098644161229,0.0181098644161229,25.0,50.0
ridge,decision_tree,12,0.858295489662685,0.8492036540990954,0.8715726625952603,-0.0090918355635897,0.0132771729325752,0.0223690084961649,0.0223690084961649,16.666666666666664,83.33333333333334
ridge,logistic_regression,12,0.8337024945926549,0.8432058546737823,0.8561757151151759,0.0095033600811274,0.0224732205225211,0.0129698604413936,0.0129698604413936,16.666666666666664,25.0
ridge,random_forest,12,0.8826875725185327,0.8699077042125823,0.8986038904922498,-0.0127798683059503,0.015916317973717,0.0286961862796674,0.0286961862796674,16.666666666666664,41.66666666666667
ridge,xgboost,12,0.8798558348490212,0.8779061572764063,0.8906282003989623,-0.0019496775726149,0.010772365549941,0.012722043122556,0.012722043122556,16.666666666666664,41.66666666666667
xgboost,decision_tree,12,0.858295489662685,0.8558899251462866,0.8715726625952603,-0.0024055645163984,0.0132771729325752,0.0156827374489737,0.0156827374489737,25.0,75.0
xgboost,logistic_regression,12,0.8337024945926549,0.8335771972837546,0.8561757151151759,-0.0001252973089003,0.0224732205225211,0.0225985178314214,0.0225985178314214,25.0,33.33333333333333
xgboost,random_forest,12,0.8826875725185327,0.8721005553122348,0.8986038904922498,-0.0105870172062978,0.015916317973717,0.0265033351800149,0.0265033351800148,25.0,58.333333333333336
xgboost,xgboost,12,0.8798558348490212,0.8690925561513226,0.8906282003989623,-0.0107632786976984,0.010772365549941,0.0215356442476395,0.0215356442476395,25.0,50.0
