dataset,samples,features,feature_sample_ratio,numeric_features,categorical_features,missing_values,duplicates,majority_count,minority_count,minority_proportion,imbalance_ratio,resampling_code,resampling,classifier,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1_class_0_math,f1_class_1_math,macro_f1_code,macro_f1_math,metric_error,verification,execution_time_seconds,target_macro_f1,baseline_macro_f1,delta_macro_f1_vs_baseline
pima,768,8,0.0104,8,0,0,0,500,268,0.349,1.866,smote_enn,SMOTE-ENN,decision_tree,347,153,68,200,0.7122395833333334,0.7201343283582089,0.56657223796034,0.746268656716418,0.7584699453551912,0.644122383252818,0.7012961643040045,0.7012961643040045,0.0,PASS,0.3313942999999995,0.7012961643040045,0.6715751896474788,0.02972097465652579
pima,768,8,0.0104,8,0,0,0,500,268,0.349,1.866,smote,SMOTE,decision_tree,384,116,113,155,0.7018229166666666,0.6731791044776119,0.5719557195571956,0.5783582089552238,0.7703109327983951,0.5751391465677179,0.6727250396830565,0.6727250396830565,0.0,PASS,0.2413293000000003,0.6727250396830565,0.6715751896474788,0.0011498500355777708
pima,768,8,0.0104,8,0,0,0,500,268,0.349,1.866,ros,Random Oversampling,decision_tree,388,112,116,152,0.703125,0.6715820895522389,0.5757575757575758,0.5671641791044776,0.7729083665338645,0.5714285714285714,0.672168468981218,0.672168468981218,0.0,PASS,0.1084995000000006,0.672168468981218,0.6715751896474788,0.000593279333739205
pima,768,8,0.0104,8,0,0,0,500,268,0.349,1.866,none,No Resampling,decision_tree,383,117,113,155,0.7005208333333334,0.672179104477612,0.5698529411764706,0.5783582089552238,0.7690763052208835,0.574074074074074,0.6715751896474788,0.6715751896474788,0.0,PASS,0.1506167000000005,0.6715751896474788,0.6715751896474788,0.0
pima,768,8,0.0104,8,0,0,0,500,268,0.349,1.866,rus,Random Undersampling,decision_tree,338,162,82,186,0.6822916666666666,0.6850149253731344,0.5344827586206896,0.6940298507462687,0.7347826086956522,0.6038961038961039,0.669339356295878,0.669339356295878,0.0,PASS,0.0944760000000002,0.669339356295878,0.6715751896474788,-0.0022358333516007134
pima,768,8,0.0104,8,0,0,0,500,268,0.349,1.866,smote_tomek,SMOTE-Tomek,decision_tree,367,133,104,164,0.69140625,0.6729701492537313,0.5521885521885522,0.6119402985074627,0.7559217301750772,0.5805309734513275,0.6682263518132023,0.6682263518132023,0.0,PASS,0.3231414999999993,0.6682263518132023,0.6715751896474788,-0.003348837834276419
pima,768,8,0.0104,8,0,0,0,500,268,0.349,1.866,adasyn,ADASYN,decision_tree,353,147,98,170,0.6809895833333334,0.6701641791044777,0.5362776025236593,0.6343283582089553,0.7423764458464773,0.5811965811965814,0.6617865135215293,0.6617865135215293,0.0,PASS,0.3455880999999996,0.6617865135215293,0.6715751896474788,-0.00978867612594947
pima,768,8,0.0104,8,0,0,0,500,268,0.349,1.866,none,No Resampling,logistic_regression,442,58,115,153,0.7747395833333334,0.7274477611940299,0.7251184834123223,0.5708955223880597,0.836329233680227,0.6388308977035491,0.737580065691888,0.737580065691888,0.0,PASS,0.0807791999999998,0.737580065691888,0.737580065691888,0.0
pima,768,8,0.0104,8,0,0,0,500,268,0.349,1.866,smote,SMOTE,logistic_regression,385,115,76,192,0.7513020833333334,0.7432089552238805,0.6254071661237784,0.7164179104477612,0.8012486992715921,0.6678260869565217,0.7345373931140569,0.7345373931140569,0.0,PASS,0.1026386999999999,0.7345373931140569,0.737580065691888,-0.003042672577831196
pima,768,8,0.0104,8,0,0,0,500,268,0.349,1.866,smote_tomek,SMOTE-Tomek,logistic_regression,381,119,75,193,0.7473958333333334,0.7410746268656716,0.6185897435897436,0.7201492537313433,0.797071129707113,0.6655172413793105,0.7312941855432118,0.7312941855432118,0.0,PASS,0.1795404999999998,0.7312941855432118,0.737580065691888,-0.0062858801486762594
pima,768,8,0.0104,8,0,0,0,500,268,0.349,1.866,ros,Random Oversampling,logistic_regression,379,121,77,191,0.7421875,0.7353432835820896,0.6121794871794872,0.7126865671641791,0.7928870292887028,0.6586206896551724,0.7257538594719376,0.7257538594719376,0.0,PASS,0.0947835000000001,0.7257538594719376,0.737580065691888,-0.011826206219950453
pima,768,8,0.0104,8,0,0,0,500,268,0.349,1.866,rus,Random Undersampling,logistic_regression,373,127,75,193,0.7369791666666666,0.7330746268656716,0.603125,0.7201492537313433,0.7869198312236289,0.6564625850340137,0.7216912081288213,0.7216912081288213,0.0,PASS,0.1159909999999997,0.7216912081288213,0.737580065691888,-0.015888857563066794
pima,768,8,0.0104,8,0,0,0,500,268,0.349,1.866,adasyn,ADASYN,logistic_regression,367,133,74,194,0.73046875,0.7289402985074627,0.5932721712538226,0.7238805970149254,0.7800212539851222,0.6521008403361345,0.7160610471606284,0.7160610471606284,0.0,PASS,0.1682447000000002,0.7160610471606284,0.737580065691888,-0.021519018531259704
pima,768,8,0.0104,8,0,0,0,500,268,0.349,1.866,smote_enn,SMOTE-ENN,logistic_regression,335,165,53,215,0.7161458333333334,0.7361194029850746,0.5657894736842105,0.8022388059701493,0.7545045045045046,0.6635802469135802,0.7090423757090424,0.7090423757090424,0.0,PASS,0.2441598999999996,0.7090423757090424,0.737580065691888,-0.02853768998284567
pima,768,8,0.0104,8,0,0,0,500,268,0.349,1.866,smote_enn,SMOTE-ENN,random_forest,368,132,57,211,0.75390625,0.7616567164179104,0.6151603498542274,0.7873134328358209,0.7956756756756757,0.6906710310965629,0.7431733533861193,0.7431733533861193,0.0,PASS,2.1110244000000016,0.7431733533861193,0.7354267425456938,0.007746610840425494
pima,768,8,0.0104,8,0,0,0,500,268,0.349,1.866,adasyn,ADASYN,random_forest,388,112,74,194,0.7578125,0.7499402985074627,0.6339869281045751,0.7238805970149254,0.8066528066528066,0.67595818815331,0.7413054974030583,0.7413054974030583,0.0,PASS,2.8041643,0.7413054974030583,0.7354267425456938,0.005878754857364443
