dataset,resampling_code,resampling,classifier,samples,features,numeric_features,categorical_features,safe_k_neighbors,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1_class_0_math,f1_class_1_math,macro_f1_code,macro_f1_math,metric_error,verification,failure_reason,execution_time_seconds
segment0,none,No Resampling,logistic_regression,2308,19,19,0,5,1978,1,5,324,0.9974003466204506,0.9921485629504938,0.9969230769230769,0.9848024316109423,0.9984856133266027,0.9908256880733944,0.9946556506999986,0.9946556506999986,0.0,PASS,,0.37631510000000024
segment0,smote,SMOTE,logistic_regression,2308,19,19,0,5,1976,3,4,325,0.9969670710571924,0.9931630140794452,0.9908536585365854,0.9878419452887538,0.9982318767365496,0.9893455098934552,0.9937886933150024,0.9937886933150024,0.0,PASS,,0.33736820000000023
segment0,smote_tomek,SMOTE-Tomek,logistic_regression,2308,19,19,0,5,1976,3,4,325,0.9969670710571924,0.9931630140794452,0.9908536585365854,0.9878419452887538,0.9982318767365496,0.9893455098934552,0.9937886933150024,0.9937886933150024,0.0,PASS,,1.8630323999999998
segment0,ros,Random Oversampling,logistic_regression,2308,19,19,0,5,1975,4,4,325,0.9965337954939342,0.9929103612244679,0.9878419452887538,0.9878419452887538,0.9979787771601819,0.9878419452887538,0.9929103612244679,0.9929103612244679,0.0,PASS,,0.45150739999999967
segment0,smote_enn,SMOTE-ENN,logistic_regression,2308,19,19,0,5,1975,4,4,325,0.9965337954939342,0.9929103612244679,0.9878419452887538,0.9878419452887538,0.9979787771601819,0.9878419452887538,0.9929103612244679,0.9929103612244679,0.0,PASS,,2.0311970000000006
segment0,rus,Random Undersampling,logistic_regression,2308,19,19,0,5,1964,15,5,324,0.9913344887348353,0.9886114229808123,0.9557522123893806,0.9848024316109423,0.994934143870314,0.9700598802395209,0.9824970120549175,0.9824970120549175,0.0,PASS,,0.22116200000000052
segment0,adasyn,ADASYN,logistic_regression,2308,19,19,0,5,1943,36,0,329,0.9844020797227037,0.9909044972208185,0.9013698630136986,1.0,0.9908210096889343,0.9481268011527377,0.969473905420836,0.969473905420836,0.0,PASS,,0.507447
segment0,adasyn,ADASYN,decision_tree,2308,19,19,0,5,1974,5,7,322,0.9948006932409013,0.9880984378527733,0.9847094801223242,0.9787234042553191,0.996969696969697,0.9817073170731708,0.9893385070214339,0.9893385070214339,0.0,PASS,,0.4466784000000015
segment0,ros,Random Oversampling,decision_tree,2308,19,19,0,5,1969,10,4,325,0.9939341421143848,0.9913944440946043,0.9701492537313433,0.9878419452887538,0.9964574898785424,0.9789156626506024,0.9876865762645723,0.9876865762645723,0.0,PASS,,0.1889611999999996
segment0,smote_enn,SMOTE-ENN,decision_tree,2308,19,19,0,5,1969,10,5,324,0.9935008665511266,0.9898746872556985,0.9700598802395209,0.9848024316109423,0.9962054136099165,0.9773755656108598,0.9867904896103882,0.9867904896103882,0.0,PASS,,2.1604484
segment0,smote,SMOTE,decision_tree,2308,19,19,0,5,1968,11,5,324,0.9930675909878682,0.9896220344007213,0.9671641791044776,0.9848024316109423,0.9959514170040485,0.9759036144578314,0.98592751573094,0.98592751573094,0.0,PASS,,0.30390150000000027
