dataset,classifier,meta_model,predicted_resampling,actual_best_resampling,baseline_macro_f1,selected_macro_f1,oracle_best_macro_f1,selected_improvement_vs_baseline,oracle_improvement_vs_baseline,gap_to_oracle,regret,top1_correct,top3_correct
ecoli-0_vs_1,logistic_regression,ridge,adasyn,smote_tomek,0.9798976608187132,0.9702058504875406,0.9849695975951356,-0.009691810331172612,0.00507193677642237,0.014763747107594982,0.0147637471075949,False,False
glass1,logistic_regression,ridge,smote_tomek,smote_enn,0.5015185021376971,0.5958717610891524,0.61023457900858,0.0943532589514553,0.10871607687088292,0.014362817919427617,0.0143628179194276,False,False
haberman,logistic_regression,ridge,smote,smote_enn,0.5344040574809805,0.625339366515837,0.6425233644859814,0.09093530903485647,0.10811930700500083,0.01718399797014436,0.0171839979701443,False,False
iris0,logistic_regression,ridge,none,none|ros|rus|smote|smote_tomek|smote_enn,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True
page-blocks0,logistic_regression,ridge,smote,none,0.847852850384496,0.8268462492184768,0.847852850384496,-0.021006601166019157,0.0,0.021006601166019157,0.0210066011660191,False,False
pima,logistic_regression,ridge,smote_tomek,none,0.737580065691888,0.7312941855432118,0.737580065691888,-0.0062858801486762594,0.0,0.0062858801486762594,0.0062858801486762,False,False
segment0,logistic_regression,ridge,smote,none,0.9946556506999986,0.9937886933150024,0.9946556506999986,-0.0008669573849962031,0.0,0.0008669573849962031,0.0008669573849962,False,False
shuttle-c0-vs-c4,logistic_regression,ridge,smote,none|ros|rus|smote|smote_tomek|smote_enn,0.9978126849919576,0.9978126849919576,0.9978126849919576,0.0,0.0,0.0,0.0,True,True
vehicle2,logistic_regression,ridge,smote,ros,0.942049967139062,0.9428024453253436,0.9518336381687104,0.0007524781862816576,0.009783671029648389,0.009031192843366731,0.0090311928433667,False,True
vowel0,logistic_regression,ridge,smote,none,0.8552891556541312,0.7964026023727517,0.8552891556541312,-0.05888655328137948,0.0,0.05888655328137948,0.0588865532813794,False,False
wisconsin,logistic_regression,ridge,adasyn,smote_enn,0.9677556415824756,0.9634355542624382,0.9680602319491208,-0.0043200873200374135,0.00030459036664520767,0.004624677686682621,0.0046246776866826,False,False
yeast1,logistic_regression,ridge,smote,rus,0.6456136985304575,0.6746708629636748,0.6832967627521116,0.029057164433217375,0.03768306422165413,0.008625899788436753,0.0086258997884367,False,False
ecoli-0_vs_1,decision_tree,ridge,none,smote_enn,0.9702058504875406,0.9702058504875406,0.9899488304093568,0.0,0.019742979921816173,0.019742979921816173,0.0197429799218161,False,True
glass1,decision_tree,ridge,smote_enn,none,0.7609506833036244,0.6935513673318552,0.7609506833036244,-0.06739931597176918,0.0,0.06739931597176918,0.0673993159717691,False,True
haberman,decision_tree,ridge,none,smote_enn,0.5658193101802125,0.5658193101802125,0.6397058823529411,0.0,0.07388657217272865,0.07388657217272865,0.0738865721727286,False,False
iris0,decision_tree,ridge,smote_enn,none|ros|rus|smote|smote_tomek|smote_enn,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True
page-blocks0,decision_tree,ridge,smote_enn,none,0.9124443797226672,0.9041625104634836,0.9124443797226672,-0.008281869259183616,0.0,0.008281869259183616,0.0082818692591836,False,True
pima,decision_tree,ridge,none,smote_enn,0.6715751896474788,0.6715751896474788,0.7012961643040045,0.0,0.02972097465652579,0.02972097465652579,0.0297209746565257,False,True
segment0,decision_tree,ridge,smote_enn,adasyn,0.9849535772068706,0.9867904896103882,0.989338507021434,0.0018369124035175766,0.004384929814563399,0.002548017411045822,0.0025480174110458,False,True
shuttle-c0-vs-c4,decision_tree,ridge,none,none|ros|rus|smote|smote_tomek|smote_enn,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True
vehicle2,decision_tree,ridge,smote_enn,none,0.9507111489807956,0.9317872737665,0.9507111489807956,-0.018923875214295616,0.0,0.018923875214295616,0.0189238752142956,False,True
vowel0,decision_tree,ridge,smote_enn,adasyn,0.8512122885397319,0.850373999157185,0.8828029071650012,-0.0008382893825468196,0.03159061862526935,0.03242890800781617,0.0324289080078161,False,False
wisconsin,decision_tree,ridge,smote_enn,none,0.953291215956496,0.9469512065958534,0.953291215956496,-0.006340009360642607,0.0,0.006340009360642607,0.0063400093606426,False,True
yeast1,decision_tree,ridge,smote_enn,none,0.6783822319268029,0.6692266519486466,0.6783822319268029,-0.009155579978156303,0.0,0.009155579978156303,0.0091555799781563,False,True
ecoli-0_vs_1,random_forest,ridge,smote_tomek,none|ros|smote_enn,0.9899488304093568,0.9849695975951356,0.9899488304093568,-0.004979232814221191,0.0,0.004979232814221191,0.0049792328142211,False,True
glass1,random_forest,ridge,smote_enn,ros,0.8335967090576166,0.7792780121894045,0.8572169916228037,-0.05431869686821211,0.023620282565187112,0.07793897943339922,0.0779389794333992,False,False
haberman,random_forest,ridge,none,smote_enn,0.529559748427673,0.529559748427673,0.655656819221685,0.0,0.126097070794012,0.126097070794012,0.126097070794012,False,False
iris0,random_forest,ridge,none,none|ros|rus|smote|smote_tomek|smote_enn,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True
page-blocks0,random_forest,ridge,smote_enn,none,0.9345174973488866,0.9108186285586148,0.9345174973488866,-0.02369886879027172,0.0,0.02369886879027172,0.0236988687902717,False,False
pima,random_forest,ridge,smote_tomek,smote_enn,0.7354267425456938,0.7390417940876657,0.7431733533861193,0.0036150515419718365,0.007746610840425494,0.0041315592984536575,0.0041315592984536,False,True
segment0,random_forest,ridge,smote_enn,adasyn,0.9946556506999986,0.9911379515305848,0.9964641357967948,-0.0035176991694138016,0.0018084850967962085,0.00532618426621001,0.00532618426621,False,False
shuttle-c0-vs-c4,random_forest,ridge,smote_enn,none|ros|rus|smote|smote_tomek|smote_enn,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True
vehicle2,random_forest,ridge,smote_enn,none,0.9860331250103184,0.9830820609125795,0.9860331250103184,-0.0029510640977388203,0.0,0.0029510640977388203,0.0029510640977388,False,False
vowel0,random_forest,ridge,adasyn,none,0.9125866035090584,0.8618523657405914,0.9125866035090584,-0.05073423776846697,0.0,0.05073423776846697,0.0507342377684669,False,False
wisconsin,random_forest,ridge,smote_enn,smote_tomek,0.9695724860430164,0.9664322407760628,0.9760671661141908,-0.0031402452669535563,0.006494680071174375,0.009634925338127931,0.0096349253381279,False,True
yeast1,random_forest,ridge,smote_enn,smote_tomek,0.7063534771707733,0.692720050732675,0.7315821634877828,-0.013633426438098395,0.025228686317009474,0.03886211275510787,0.0388621127551078,False,False
ecoli-0_vs_1,xgboost,ridge,adasyn,smote_enn,0.98001998001998,0.975099037917374,0.9899488304093568,-0.004920942102606074,0.009928850389376742,0.014849792491982816,0.0148497924919828,False,False
glass1,xgboost,ridge,adasyn,ros,0.8174728889971976,0.8194092827004219,0.8275665939899517,0.0019363937032242928,0.010093704992754082,0.00815731128952979,0.0081573112895297,False,True
haberman,xgboost,ridge,ros,smote_enn,0.550908090258668,0.557703783267693,0.6397174254317111,0.006795693009024939,0.08880933517304301,0.08201364216401807,0.082013642164018,False,False
iris0,xgboost,ridge,none,none|ros|rus|smote|smote_tomek|smote_enn,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True
page-blocks0,xgboost,ridge,adasyn,none,0.9305993992368964,0.9126112189393464,0.9305993992368964,-0.017988180297550005,0.0,0.017988180297550005,0.01798818029755,False,False
pima,xgboost,ridge,adasyn,none,0.7361390827659384,0.7304530785692559,0.7361390827659384,-0.005686004196682526,0.0,0.005686004196682526,0.0056860041966825,False,False
segment0,xgboost,ridge,adasyn,none,0.992910361224468,0.9902640793691516,0.992910361224468,-0.002646281855316346,0.0,0.002646281855316346,0.0026462818553163,False,True
shuttle-c0-vs-c4,xgboost,ridge,ros,none|ros|smote|smote_tomek|smote_enn,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True
