dataset,validation,group_column,excluded_from_features,groups,resampling_code,resampling,classifier,samples,features_used,safe_k_neighbors,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,macro_f1_code,macro_f1_math,metric_error,verification,execution_time_seconds
vowel0,GroupKFold,SpeakerNumber,SpeakerNumber,15,none,No Resampling,logistic_regression,988,12,5,870,28,21,69,0.9504048582995951,0.8677431328878991,0.711340206185567,0.7666666666666667,0.8552891556541312,0.8552891556541312,0.0,PASS,0.8367447999999982
vowel0,GroupKFold,SpeakerNumber,SpeakerNumber,15,ros,Random Oversampling,logistic_regression,988,12,5,828,70,15,75,0.9139676113360324,0.877691165553081,0.5172413793103449,0.8333333333333334,0.7947376782724529,0.7947376782724529,0.0,PASS,0.18268279999999848
vowel0,GroupKFold,SpeakerNumber,SpeakerNumber,15,rus,Random Undersampling,logistic_regression,988,12,5,803,95,9,81,0.8947368421052632,0.8971046770601336,0.4602272727272727,0.9,0.7741019214703425,0.7741019214703425,0.0,PASS,0.1513005000000014
vowel0,GroupKFold,SpeakerNumber,SpeakerNumber,15,smote,SMOTE,logistic_regression,988,12,5,829,69,15,75,0.9149797570850202,0.8782479584261322,0.5208333333333334,0.8333333333333334,0.7964026023727517,0.7964026023727517,0.0,PASS,0.18781909999999868
vowel0,GroupKFold,SpeakerNumber,SpeakerNumber,15,adasyn,ADASYN,logistic_regression,988,12,5,844,54,19,71,0.9261133603238867,0.8643776292996783,0.568,0.7888888888888889,0.80950569840075,0.80950569840075,0.0,PASS,0.26125740000000164
vowel0,GroupKFold,SpeakerNumber,SpeakerNumber,15,smote_tomek,SMOTE-Tomek,logistic_regression,988,12,5,829,69,15,75,0.9149797570850202,0.8782479584261322,0.5208333333333334,0.8333333333333334,0.7964026023727517,0.7964026023727517,0.0,PASS,0.3285494
vowel0,GroupKFold,SpeakerNumber,SpeakerNumber,15,smote_enn,SMOTE-ENN,logistic_regression,988,12,5,830,68,15,75,0.9159919028340081,0.8788047512991835,0.5244755244755245,0.8333333333333334,0.7980788882076435,0.7980788882076435,0.0,PASS,0.34839159999999936
vowel0,GroupKFold,SpeakerNumber,SpeakerNumber,15,none,No Resampling,decision_tree,988,12,5,883,15,30,60,0.9544534412955465,0.8249814402375649,0.8,0.6666666666666666,0.8512122885397319,0.8512122885397319,0.0,PASS,0.07959460000000007
vowel0,GroupKFold,SpeakerNumber,SpeakerNumber,15,ros,Random Oversampling,decision_tree,988,12,5,876,22,26,64,0.951417004048583,0.8433061123484287,0.7441860465116279,0.7111111111111111,0.8503030303030303,0.8503030303030303,0.0,PASS,0.08457680000000067
vowel0,GroupKFold,SpeakerNumber,SpeakerNumber,15,rus,Random Undersampling,decision_tree,988,12,5,839,59,17,73,0.9230769230769231,0.8727047760455333,0.553030303030303,0.8111111111111111,0.8071640625802541,0.8071640625802541,0.0,PASS,0.05629370000000122
vowel0,GroupKFold,SpeakerNumber,SpeakerNumber,15,smote,SMOTE,decision_tree,988,12,5,881,17,29,61,0.9534412955465587,0.8294234100470181,0.782051282051282,0.6777777777777778,0.850373999157185,0.850373999157185,0.0,PASS,0.23315529999999995
vowel0,GroupKFold,SpeakerNumber,SpeakerNumber,15,adasyn,ADASYN,decision_tree,988,12,5,883,15,22,68,0.9625506072874493,0.8694258846820093,0.8192771084337349,0.7555555555555555,0.8828029071650012,0.8828029071650012,0.0,PASS,0.12283949999999777
vowel0,GroupKFold,SpeakerNumber,SpeakerNumber,15,smote_tomek,SMOTE-Tomek,decision_tree,988,12,5,881,17,29,61,0.9534412955465587,0.8294234100470181,0.782051282051282,0.6777777777777778,0.850373999157185,0.850373999157185,0.0,PASS,0.2010963999999973
vowel0,GroupKFold,SpeakerNumber,SpeakerNumber,15,smote_enn,SMOTE-ENN,decision_tree,988,12,5,881,17,29,61,0.9534412955465587,0.8294234100470181,0.782051282051282,0.6777777777777778,0.850373999157185,0.850373999157185,0.0,PASS,0.22902690000000092
vowel0,GroupKFold,SpeakerNumber,SpeakerNumber,15,none,No Resampling,random_forest,988,12,5,894,4,22,68,0.9736842105263158,0.8755506062855729,0.9444444444444444,0.7555555555555555,0.9125866035090585,0.9125866035090585,0.0,PASS,2.5871901999999984
vowel0,GroupKFold,SpeakerNumber,SpeakerNumber,15,ros,Random Oversampling,random_forest,988,12,5,894,4,31,59,0.9645748987854251,0.8255506062855729,0.9365079365079365,0.6555555555555556,0.8760213538697614,0.8760213538697614,0.0,PASS,2.7590128000000007
vowel0,GroupKFold,SpeakerNumber,SpeakerNumber,15,rus,Random Undersampling,random_forest,988,12,5,860,38,8,82,0.9534412955465587,0.934397426379609,0.6833333333333333,0.9111111111111111,0.8774524079167341,0.8774524079167341,0.0,PASS,2.0851495
vowel0,GroupKFold,SpeakerNumber,SpeakerNumber,15,smote,SMOTE,random_forest,988,12,5,896,2,30,60,0.9676113360323887,0.8322197475872308,0.967741935483871,0.6666666666666666,0.8859649122807018,0.8859649122807018,0.0,PASS,2.7089402000000007
vowel0,GroupKFold,SpeakerNumber,SpeakerNumber,15,adasyn,ADASYN,random_forest,988,12,5,892,6,33,57,0.9605263157894737,0.8133259094283594,0.9047619047619048,0.6333333333333333,0.8618523657405914,0.8618523657405914,0.0,PASS,2.7080026000000004
vowel0,GroupKFold,SpeakerNumber,SpeakerNumber,15,smote_tomek,SMOTE-Tomek,random_forest,988,12,5,896,2,30,60,0.9676113360323887,0.8322197475872308,0.967741935483871,0.6666666666666666,0.8859649122807018,0.8859649122807018,0.0,PASS,2.947246899999996
vowel0,GroupKFold,SpeakerNumber,SpeakerNumber,15,smote_enn,SMOTE-ENN,random_forest,988,12,5,895,3,25,65,0.97165991902834,0.8594407324919574,0.9558823529411765,0.7222222222222222,0.9036916349862835,0.9036916349862835,0.0,PASS,3.0051507000000015
vowel0,GroupKFold,SpeakerNumber,SpeakerNumber,15,none,No Resampling,xgboost,988,12,5,892,6,21,69,0.9726720647773279,0.879992576095026,0.92,0.7666666666666667,0.9107273731238391,0.9107273731238391,0.0,PASS,1.8414299999999955
vowel0,GroupKFold,SpeakerNumber,SpeakerNumber,15,ros,Random Oversampling,xgboost,988,12,5,884,14,17,73,0.9686234817813765,0.8977604553328384,0.8390804597701149,0.8111111111111111,0.9038134808101173,0.9038134808101173,0.0,PASS,1.538400099999997
vowel0,GroupKFold,SpeakerNumber,SpeakerNumber,15,rus,Random Undersampling,xgboost,988,12,5,859,39,5,85,0.9554655870445344,0.9505073001732245,0.6854838709677419,0.9444444444444444,0.8847104501044905,0.8847104501044905,0.0,PASS,1.018322099999999
