dataset,resampling_code,resampling,classifier,samples,features,numeric_features,categorical_features,safe_k_neighbors,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1_class_0_math,f1_class_1_math,macro_f1_code,macro_f1_math,metric_error,verification,failure_reason,execution_time_seconds
shuttle-c0-vs-c4,none,No Resampling,logistic_regression,1829,9,9,0,5,1706.0,0.0,1.0,122.0,0.9994532531437944,0.9959349593495934,1.0,0.991869918699187,0.9997070026369762,0.9959183673469388,0.9978126849919575,0.9978126849919575,0.0,PASS,,0.5004019
shuttle-c0-vs-c4,ros,Random Oversampling,logistic_regression,1829,9,9,0,5,1706.0,0.0,1.0,122.0,0.9994532531437944,0.9959349593495934,1.0,0.991869918699187,0.9997070026369762,0.9959183673469388,0.9978126849919575,0.9978126849919575,0.0,PASS,,0.4092722999999996
shuttle-c0-vs-c4,rus,Random Undersampling,logistic_regression,1829,9,9,0,5,1706.0,0.0,1.0,122.0,0.9994532531437944,0.9959349593495934,1.0,0.991869918699187,0.9997070026369762,0.9959183673469388,0.9978126849919575,0.9978126849919575,0.0,PASS,,0.20684450000000076
shuttle-c0-vs-c4,smote,SMOTE,logistic_regression,1829,9,9,0,5,1706.0,0.0,1.0,122.0,0.9994532531437944,0.9959349593495934,1.0,0.991869918699187,0.9997070026369762,0.9959183673469388,0.9978126849919575,0.9978126849919575,0.0,PASS,,0.5711854999999986
shuttle-c0-vs-c4,smote_tomek,SMOTE-Tomek,logistic_regression,1829,9,9,0,5,1706.0,0.0,1.0,122.0,0.9994532531437944,0.9959349593495934,1.0,0.991869918699187,0.9997070026369762,0.9959183673469388,0.9978126849919575,0.9978126849919575,0.0,PASS,,0.7675029999999996
shuttle-c0-vs-c4,smote_enn,SMOTE-ENN,logistic_regression,1829,9,9,0,5,1706.0,0.0,1.0,122.0,0.9994532531437944,0.9959349593495934,1.0,0.991869918699187,0.9997070026369762,0.9959183673469388,0.9978126849919575,0.9978126849919575,0.0,PASS,,0.9529812
shuttle-c0-vs-c4,adasyn,ADASYN,logistic_regression,1829,9,9,0,5,,,,,,,,,,,,,,NOT_APPLICABLE,Not any neigbours belong to the majority class. This case will induce a NaN case with a division by zero. ADASYN is not suited for this specific dataset. Use SMOTE instead.,0.0669082000000003
shuttle-c0-vs-c4,none,No Resampling,decision_tree,1829,9,9,0,5,1706.0,0.0,0.0,123.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,PASS,,0.23382089999999955
shuttle-c0-vs-c4,ros,Random Oversampling,decision_tree,1829,9,9,0,5,1706.0,0.0,0.0,123.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,PASS,,0.10904700000000034
shuttle-c0-vs-c4,rus,Random Undersampling,decision_tree,1829,9,9,0,5,1706.0,0.0,0.0,123.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,PASS,,0.11436439999999948
shuttle-c0-vs-c4,smote,SMOTE,decision_tree,1829,9,9,0,5,1706.0,0.0,0.0,123.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,PASS,,0.16143679999999883
shuttle-c0-vs-c4,smote_tomek,SMOTE-Tomek,decision_tree,1829,9,9,0,5,1706.0,0.0,0.0,123.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,PASS,,0.5454758000000002
shuttle-c0-vs-c4,smote_enn,SMOTE-ENN,decision_tree,1829,9,9,0,5,1706.0,0.0,0.0,123.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,PASS,,0.9974951000000019
shuttle-c0-vs-c4,adasyn,ADASYN,decision_tree,1829,9,9,0,5,,,,,,,,,,,,,,NOT_APPLICABLE,Not any neigbours belong to the majority class. This case will induce a NaN case with a division by zero. ADASYN is not suited for this specific dataset. Use SMOTE instead.,0.08205169999999917
shuttle-c0-vs-c4,none,No Resampling,random_forest,1829,9,9,0,5,1706.0,0.0,0.0,123.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,PASS,,3.1392646999999982
shuttle-c0-vs-c4,ros,Random Oversampling,random_forest,1829,9,9,0,5,1706.0,0.0,0.0,123.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,PASS,,3.513208500000001
shuttle-c0-vs-c4,rus,Random Undersampling,random_forest,1829,9,9,0,5,1706.0,0.0,0.0,123.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,PASS,,2.9501658999999982
shuttle-c0-vs-c4,smote,SMOTE,random_forest,1829,9,9,0,5,1706.0,0.0,0.0,123.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,PASS,,4.061526500000003
shuttle-c0-vs-c4,smote_tomek,SMOTE-Tomek,random_forest,1829,9,9,0,5,1706.0,0.0,0.0,123.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,PASS,,4.860253700000001
shuttle-c0-vs-c4,smote_enn,SMOTE-ENN,random_forest,1829,9,9,0,5,1706.0,0.0,0.0,123.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,PASS,,4.728439100000003
shuttle-c0-vs-c4,adasyn,ADASYN,random_forest,1829,9,9,0,5,,,,,,,,,,,,,,NOT_APPLICABLE,Not any neigbours belong to the majority class. This case will induce a NaN case with a division by zero. ADASYN is not suited for this specific dataset. Use SMOTE instead.,0.8881155000000014
shuttle-c0-vs-c4,none,No Resampling,xgboost,1829,9,9,0,5,1706.0,0.0,0.0,123.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,PASS,,1.7991220999999982
shuttle-c0-vs-c4,ros,Random Oversampling,xgboost,1829,9,9,0,5,1706.0,0.0,0.0,123.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,PASS,,1.6074095000000028
shuttle-c0-vs-c4,smote,SMOTE,xgboost,1829,9,9,0,5,1706.0,0.0,0.0,123.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,PASS,,1.7851605000000035
shuttle-c0-vs-c4,smote_tomek,SMOTE-Tomek,xgboost,1829,9,9,0,5,1706.0,0.0,0.0,123.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,PASS,,2.5000988999999976
shuttle-c0-vs-c4,smote_enn,SMOTE-ENN,xgboost,1829,9,9,0,5,1706.0,0.0,0.0,123.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,PASS,,3.2915338999999975
shuttle-c0-vs-c4,rus,Random Undersampling,xgboost,1829,9,9,0,5,1702.0,4.0,0.0,123.0,0.9978130125751777,0.9988276670574443,0.968503937007874,1.0,0.9988262910798122,0.9839999999999999,0.991413145539906,0.991413145539906,0.0,PASS,,1.3472319000000041
shuttle-c0-vs-c4,adasyn,ADASYN,xgboost,1829,9,9,0,5,,,,,,,,,,,,,,NOT_APPLICABLE,Not any neigbours belong to the majority class. This case will induce a NaN case with a division by zero. ADASYN is not suited for this specific dataset. Use SMOTE instead.,0.48751550000000066
