analysis,comparison,datasets,rank_biserial_effect,interpretation,holm_adjusted_p_value,significant_alpha_0_05
logistic_regression,No Resampling vs Random Oversampling,10,-0.09090909090909091,negative,1.0,False
logistic_regression,No Resampling vs Random Undersampling,10,0.05454545454545454,positive,1.0,False
logistic_regression,No Resampling vs SMOTE,10,-0.05454545454545454,negative,1.0,False
logistic_regression,No Resampling vs ADASYN,10,0.23636363636363636,positive,1.0,False
logistic_regression,No Resampling vs SMOTE-Tomek,10,-0.12727272727272726,negative,1.0,False
logistic_regression,No Resampling vs SMOTE-ENN,10,0.12727272727272726,positive,1.0,False
logistic_regression,Random Oversampling vs Random Undersampling,10,0.45454545454545453,positive,1.0,False
logistic_regression,Random Oversampling vs SMOTE,10,-0.38181818181818183,negative,1.0,False
logistic_regression,Random Oversampling vs ADASYN,10,0.7818181818181819,positive,0.51953125,False
logistic_regression,Random Oversampling vs SMOTE-Tomek,10,-0.2,negative,1.0,False
logistic_regression,Random Oversampling vs SMOTE-ENN,10,0.15555555555555556,positive,1.0,False
logistic_regression,Random Undersampling vs SMOTE,10,-0.6444444444444445,negative,1.0,False
logistic_regression,Random Undersampling vs ADASYN,10,0.5636363636363636,positive,1.0,False
logistic_regression,Random Undersampling vs SMOTE-Tomek,10,-0.7454545454545455,negative,0.66796875,False
logistic_regression,Random Undersampling vs SMOTE-ENN,10,-0.23636363636363636,negative,1.0,False
logistic_regression,SMOTE vs ADASYN,10,0.8545454545454545,positive,0.2734375,False
logistic_regression,SMOTE vs SMOTE-Tomek,10,-0.047619047619047616,negative,1.0,False
logistic_regression,SMOTE vs SMOTE-ENN,10,0.2,positive,1.0,False
logistic_regression,ADASYN vs SMOTE-Tomek,10,-0.8909090909090909,negative,0.205078125,False
logistic_regression,ADASYN vs SMOTE-ENN,10,-0.2727272727272727,negative,1.0,False
logistic_regression,SMOTE-Tomek vs SMOTE-ENN,10,0.2,positive,1.0,False
decision_tree,No Resampling vs Random Oversampling,10,0.6727272727272727,positive,0.90234375,False
decision_tree,No Resampling vs Random Undersampling,10,1.0,positive,0.041015625,True
decision_tree,No Resampling vs SMOTE,10,0.6727272727272727,positive,0.90234375,False
decision_tree,No Resampling vs ADASYN,10,0.4909090909090909,positive,1.0,False
decision_tree,No Resampling vs SMOTE-Tomek,10,0.9111111111111111,positive,0.259765625,False
