analysis,strategy,datasets,mean_macro_f1,median_macro_f1,std_macro_f1,mean_improvement_vs_baseline,median_improvement_vs_baseline,wins_vs_baseline,ties_vs_baseline,losses_vs_baseline,improvement_rate_percent
logistic_regression,No Resampling,10,0.8006617250119898,0.8515710030193135,0.18597500845142184,0.0,0.0,0,10,0,0.0
logistic_regression,Random Oversampling,10,0.8136321834051529,0.8115430988984431,0.15181340718860242,0.01297045839316292,-0.0023829733677594445,4,0,6,40.0
logistic_regression,Random Undersampling,10,0.8066016589024846,0.7953814580976453,0.1514297432596976,0.0059399338904946196,-0.00755660414181375,4,0,6,40.0
logistic_regression,SMOTE,10,0.8145983756462556,0.8116244257956142,0.15093517911425372,0.013936650634265479,-0.00037231909186469236,5,0,5,50.0
logistic_regression,ADASYN,10,0.7957503165656435,0.7912794027815283,0.16043859638852256,-0.00491140844634651,-0.007005948825605013,3,0,7,30.0
logistic_regression,SMOTE-Tomek,10,0.8144491938748064,0.8115777003805933,0.15238137436261082,0.013787468862816444,-5.723959935727274e-05,5,0,5,50.0
logistic_regression,SMOTE-ENN,10,0.8104485249803423,0.8144723619502553,0.1492283417436902,0.00978679996835229,-0.005349468026676907,4,0,6,40.0
decision_tree,No Resampling,10,0.8299545875952221,0.8818283341311995,0.15030813775232374,0.0,0.0,0,10,0,0.0
decision_tree,Random Oversampling,10,0.8204872940348984,0.8791060081884932,0.15948411119892084,-0.00946729356032352,-0.008618943750911934,3,0,7,30.0
decision_tree,Random Undersampling,10,0.7994189656881632,0.8287006142310901,0.15131709720292658,-0.03053562190705874,-0.03184440424634094,0,0,10,0.0
decision_tree,SMOTE,10,0.8176462079358698,0.8749891188569289,0.15847657545348723,-0.012308379659352197,-0.013304531554496346,3,0,7,30.0
decision_tree,ADASYN,10,0.8245724325874176,0.8900449922537401,0.1504466878975881,-0.005382155007804324,-0.007244907402351897,3,0,7,30.0
decision_tree,SMOTE-Tomek,10,0.8207867947431426,0.8779970107811679,0.15399259743569677,-0.009167792852079493,-0.008498334333149116,1,1,8,10.0
decision_tree,SMOTE-ENN,10,0.8313794375940213,0.8772682548103343,0.1403741415172548,0.0014248499987994045,-0.003589149371594713,4,0,6,40.0
random_forest,No Resampling,10,0.8592250870222393,0.9235520504289725,0.15643073317971987,0.0,0.0,0,10,0,0.0
random_forest,Random Oversampling,10,0.8602555000203811,0.9048342764072703,0.1466773038939573,0.0010304129981420051,-0.00043514920205367513,4,1,5,40.0
random_forest,Random Undersampling,10,0.8515583222989885,0.8816310453607042,0.13352506632808375,-0.007666764723250586,-0.009703393703508978,3,0,7,30.0
random_forest,SMOTE,10,0.8592311685329778,0.9041754233886217,0.14816544939396034,6.081510738520368e-06,-0.00191540689360431,4,0,6,40.0
random_forest,ADASYN,10,0.8572363946835235,0.8884907012834158,0.13569490795151584,-0.001988692338715814,-0.004613397511114059,4,0,6,40.0
random_forest,SMOTE-Tomek,10,0.8612247191198639,0.9059035870335073,0.14282369618141488,0.001999632097624804,-0.002074914539509809,4,0,6,40.0
random_forest,SMOTE-ENN,10,0.8615939582703366,0.9072551317724492,0.13120390535803142,0.002368871248097426,-0.003328972218183679,2,1,7,20.0
xgboost,No Resampling,10,0.8558270018188254,0.9206633861803678,0.15049890904296695,0.0,0.0,0,10,0,0.0
xgboost,Random Oversampling,10,0.8581101828790851,0.91654838850329,0.14756784954571786,0.0022831810602596094,0.0019242664112129049,5,0,5,50.0
xgboost,Random Undersampling,10,0.8468674996834376,0.8908009982714323,0.14364899217788793,-0.008959502135387954,-0.011153518717695432,2,1,7,20.0
xgboost,SMOTE,10,0.8555813349028043,0.9043326820497419,0.14344981042377297,-0.0002456669160213365,-0.0008750108662402001,4,1,5,40.0
xgboost,ADASYN,10,0.858334771022679,0.910529730135776,0.13549135701788814,0.0025077692038533604,-0.002831012357332685,3,0,7,30.0
xgboost,SMOTE-Tomek,10,0.8529959156117106,0.9067050372791355,0.14584129214161856,-0.0028310862071147746,-0.0008750108662402001,3,2,5,30.0
xgboost,SMOTE-ENN,10,0.8501616385747184,0.8982388579316793,0.1379219933620205,-0.0056653632441071465,-0.006076660305121773,3,0,7,30.0
ALL_CLASSIFIERS,No Resampling,10,0.8364171003620691,0.8944036934399633,0.1557448389229535,0.0,0.0,0,10,0,0.0
ALL_CLASSIFIERS,Random Oversampling,10,0.8381212900848795,0.8780079429993741,0.14726645319924395,0.0017041897228102787,-0.001123867681053159,4,0,6,40.0
ALL_CLASSIFIERS,Random Undersampling,10,0.8261116116432685,0.849128528990218,0.14083958401180494,-0.010305488718800637,-0.008059841136563162,2,0,8,20.0
ALL_CLASSIFIERS,SMOTE,10,0.8367642717544769,0.8737804125227266,0.14629587394688554,0.0003471713924076081,-0.0018727171476541349,4,0,6,40.0
ALL_CLASSIFIERS,ADASYN,10,0.8339734787148159,0.870086206613615,0.1414316622795018,-0.0024436216472533134,-0.006271800460072918,3,0,7,30.0
ALL_CLASSIFIERS,SMOTE-Tomek,10,0.837364155837381,0.8755458338686011,0.14504324727222112,0.0009470554753117533,-0.001594659128031084,4,0,6,40.0
ALL_CLASSIFIERS,SMOTE-ENN,10,0.8383958898548547,0.8743086516161795,0.13819404325717186,0.001978789492785504,-0.004463244404769584,3,0,7,30.0
