dataset,resampling_code,resampling,classifier,samples,features,numeric_features,categorical_features,safe_k_neighbors,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1_class_0_math,f1_class_1_math,macro_f1_code,macro_f1_math,metric_error,verification,execution_time_seconds
vehicle2,ros,Random Oversampling,logistic_regression,846,18,18,0,5,603,25,7,211,0.9621749408983451,0.9640404955297142,0.8940677966101694,0.9678899082568807,0.9741518578352182,0.9295154185022027,0.9518336381687105,0.9518336381687105,0.0,PASS,0.4835906999999997
vehicle2,smote,SMOTE,logistic_regression,846,18,18,0,5,600,28,10,208,0.9550827423167849,0.954771226552913,0.8813559322033898,0.9541284403669725,0.9693053311793215,0.9162995594713658,0.9428024453253436,0.9428024453253436,0.0,PASS,0.41862570000000066
vehicle2,smote_tomek,SMOTE-Tomek,logistic_regression,846,18,18,0,5,600,28,10,208,0.9550827423167849,0.954771226552913,0.8813559322033898,0.9541284403669725,0.9693053311793215,0.9162995594713658,0.9428024453253436,0.9428024453253436,0.0,PASS,0.42568860000000086
vehicle2,none,No Resampling,logistic_regression,846,18,18,0,5,614,14,23,195,0.9562647754137116,0.9361012096067317,0.9330143540669856,0.8944954128440367,0.9707509881422925,0.9133489461358314,0.942049967139062,0.942049967139062,0.0,PASS,0.3685033000000004
vehicle2,adasyn,ADASYN,logistic_regression,846,18,18,0,5,597,31,8,210,0.9539007092198581,0.9569698474843686,0.8713692946058091,0.963302752293578,0.9683698296836983,0.9150326797385622,0.9417012547111303,0.9417012547111303,0.0,PASS,0.5133350999999999
vehicle2,smote_enn,SMOTE-ENN,logistic_regression,846,18,18,0,5,592,36,9,209,0.9468085106382979,0.9506953777829721,0.8530612244897959,0.9587155963302753,0.9633848657445078,0.9028077753779699,0.9330963205612388,0.9330963205612388,0.0,PASS,0.5288255
vehicle2,rus,Random Undersampling,logistic_regression,846,18,18,0,5,588,40,8,210,0.9432624113475178,0.9498042423888272,0.84,0.963302752293578,0.9607843137254902,0.8974358974358974,0.9291101055806938,0.9291101055806938,0.0,PASS,0.16193789999999986
vehicle2,none,No Resampling,decision_tree,846,18,18,0,5,611,17,15,203,0.9621749408983451,0.9520612984280956,0.9227272727272727,0.9311926605504587,0.9744816586921848,0.9269406392694063,0.9507111489807956,0.9507111489807956,0.0,PASS,0.1431218000000003
vehicle2,adasyn,ADASYN,decision_tree,846,18,18,0,5,610,18,17,201,0.958628841607565,0.9466779641208438,0.9178082191780822,0.9220183486238532,0.9721115537848606,0.919908466819222,0.9460100103020412,0.9460100103020412,0.0,PASS,0.1679624000000004
vehicle2,smote_tomek,SMOTE-Tomek,decision_tree,846,18,18,0,5,608,20,19,199,0.9539007092198581,0.940498451469643,0.908675799086758,0.9128440366972477,0.9689243027888447,0.9107551487414187,0.9398397257651316,0.9398397257651316,0.0,PASS,0.2936818999999993
vehicle2,ros,Random Oversampling,decision_tree,846,18,18,0,5,612,16,24,194,0.9527186761229315,0.9322152749371823,0.9238095238095239,0.8899082568807339,0.9683544303797469,0.9065420560747663,0.9374482432272566,0.9374482432272566,0.0,PASS,0.11459709999999923
vehicle2,smote,SMOTE,decision_tree,846,18,18,0,5,606,22,19,199,0.9515366430260047,0.9389060947817449,0.9004524886877828,0.9128440366972477,0.9672785315243417,0.9066059225512529,0.9369422270377974,0.9369422270377974,0.0,PASS,0.15708360000000088
vehicle2,smote_enn,SMOTE-ENN,decision_tree,846,18,18,0,5,599,29,16,202,0.9468085106382979,0.9402135803190557,0.8744588744588745,0.926605504587156,0.9637972646822204,0.8997772828507796,0.9317872737665001,0.9317872737665001,0.0,PASS,0.5276239999999994
vehicle2,rus,Random Undersampling,decision_tree,846,18,18,0,5,584,44,10,208,0.9361702127659575,0.9420323730497283,0.8253968253968254,0.9541284403669725,0.9558101472995091,0.8851063829787235,0.9204582651391162,0.9204582651391162,0.0,PASS,0.10976490000000005
vehicle2,none,No Resampling,random_forest,846,18,18,0,5,625,3,6,212,0.9893617021276596,0.9838499970782446,0.986046511627907,0.9724770642201835,0.9928514694201749,0.979214780600462,0.9860331250103185,0.9860331250103185,0.0,PASS,3.9488063999999987
vehicle2,smote_tomek,SMOTE-Tomek,random_forest,846,18,18,0,5,624,4,6,212,0.9881796690307328,0.9830538187342956,0.9814814814814815,0.9724770642201835,0.9920508744038156,0.9769585253456222,0.9845046998747189,0.9845046998747189,0.0,PASS,4.108764599999997
vehicle2,smote_enn,SMOTE-ENN,random_forest,846,18,18,0,5,621,7,4,214,0.9869976359338062,0.9852524396657512,0.9683257918552036,0.981651376146789,0.9912210694333599,0.9749430523917995,0.9830820609125797,0.9830820609125797,0.0,PASS,3.5685097
vehicle2,smote,SMOTE,random_forest,846,18,18,0,5,624,4,7,211,0.9869976359338062,0.9807602407526441,0.9813953488372092,0.9678899082568807,0.9912629070691024,0.9745958429561201,0.9829293750126112,0.9829293750126112,0.0,PASS,3.751204600000001
vehicle2,adasyn,ADASYN,random_forest,846,18,18,0,5,621,7,6,212,0.9846335697399528,0.9806652837024484,0.9680365296803652,0.9724770642201835,0.9896414342629481,0.9702517162471395,0.9799465752550438,0.9799465752550438,0.0,PASS,4.280627799999998
vehicle2,ros,Random Oversampling,random_forest,846,18,18,0,5,622,6,8,210,0.983451536643026,0.9768743060830947,0.9722222222222222,0.963302752293578,0.9888712241653418,0.9677419354838711,0.9783065798246064,0.9783065798246064,0.0,PASS,3.7197345000000013
vehicle2,rus,Random Undersampling,random_forest,846,18,18,0,5,606,22,5,213,0.9680851063829787,0.9710161865248641,0.9063829787234042,0.9770642201834863,0.9782082324455206,0.9403973509933775,0.959302791719449,0.959302791719449,0.0,PASS,3.5807019999999987
vehicle2,ros,Random Oversampling,xgboost,846,18,18,0,5,621,7,5,213,0.9858156028368794,0.9829588616840998,0.9681818181818181,0.9770642201834863,0.9904306220095693,0.9726027397260274,0.9815166808677984,0.9815166808677984,0.0,PASS,1.5831225000000018
vehicle2,smote_tomek,SMOTE-Tomek,xgboost,846,18,18,0,5,621,7,6,212,0.9846335697399528,0.9806652837024484,0.9680365296803652,0.9724770642201835,0.9896414342629481,0.9702517162471395,0.9799465752550438,0.9799465752550438,0.0,PASS,1.875018500000003
vehicle2,smote,SMOTE,xgboost,846,18,18,0,5,620,8,6,212,0.983451536643026,0.9798691053584994,0.9636363636363636,0.9724770642201835,0.9888357256778308,0.9680365296803652,0.978436127679098,0.978436127679098,0.0,PASS,1.6690534999999969
vehicle2,none,No Resampling,xgboost,846,18,18,0,5,621,7,8,210,0.9822695035460993,0.9760781277391457,0.967741935483871,0.963302752293578,0.9880668257756563,0.9655172413793104,0.9767920335774833,0.9767920335774833,0.0,PASS,1.7943633999999946
vehicle2,adasyn,ADASYN,xgboost,846,18,18,0,5,619,9,8,210,0.9799054373522459,0.9744857710512476,0.958904109589041,0.963302752293578,0.9864541832669322,0.9610983981693363,0.9737762907181342,0.9737762907181342,0.0,PASS,1.7834383000000003
vehicle2,smote_enn,SMOTE-ENN,xgboost,846,18,18,0,5,613,15,7,211,0.9739952718676123,0.9720022789692047,0.9336283185840708,0.9678899082568807,0.9823717948717949,0.9504504504504504,0.9664111226611227,0.9664111226611227,0.0,PASS,1.9469756000000018
vehicle2,rus,Random Undersampling,xgboost,846,18,18,0,5,608,20,3,215,0.9728132387706856,0.977195699176065,0.9148936170212766,0.9862385321100917,0.9814366424535916,0.9492273730684327,0.9653320077610121,0.9653320077610121,0.0,PASS,1.286867700000002
