dataset,resampling_code,resampling,classifier,samples,features,numeric_features,categorical_features,safe_k_neighbors,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1_class_0_math,f1_class_1_math,macro_f1_code,macro_f1_math,metric_error,verification,failure_reason,execution_time_seconds
vowel0,none,No Resampling,logistic_regression,988,13,13,0,5,890,8,22,68,0.9696356275303644,0.873323434793368,0.8947368421052632,0.7555555555555555,0.9834254143646409,0.8192771084337349,0.9013512613991879,0.9013512613991879,0.0,PASS,,0.27752849999999984
vowel0,adasyn,ADASYN,logistic_regression,988,13,13,0,5,858,40,1,89,0.958502024291498,0.9721727295223954,0.689922480620155,0.9888888888888889,0.9766647694934547,0.812785388127854,0.8947250788106543,0.8947250788106543,0.0,PASS,,0.3774221000000004
vowel0,smote_enn,SMOTE-ENN,logistic_regression,988,13,13,0,5,857,41,2,88,0.9564777327935222,0.9660603810937887,0.6821705426356589,0.9777777777777777,0.9755264655663063,0.8036529680365296,0.889589716801418,0.889589716801418,0.0,PASS,,0.5201232999999998
vowel0,smote,SMOTE,logistic_regression,988,13,13,0,5,856,42,2,88,0.9554655870445344,0.9655035882207375,0.676923076923077,0.9777777777777777,0.9749430523917996,0.8000000000000002,0.8874715261958999,0.8874715261958999,0.0,PASS,,1.2842377000000003
vowel0,smote_tomek,SMOTE-Tomek,logistic_regression,988,13,13,0,5,856,42,2,88,0.9554655870445344,0.9655035882207375,0.676923076923077,0.9777777777777777,0.9749430523917996,0.8000000000000002,0.8874715261958999,0.8874715261958999,0.0,PASS,,0.44306410000000085
vowel0,ros,Random Oversampling,logistic_regression,988,13,13,0,5,854,44,1,89,0.9544534412955465,0.9699455580301906,0.6691729323308271,0.9888888888888889,0.9743297204791785,0.7982062780269059,0.8862679992530422,0.8862679992530422,0.0,PASS,,0.4495830999999999
vowel0,rus,Random Undersampling,logistic_regression,988,13,13,0,5,825,73,2,88,0.9240890688259109,0.9482430091561495,0.546583850931677,0.9777777777777777,0.9565217391304348,0.701195219123506,0.8288584791269704,0.8288584791269704,0.0,PASS,,0.15353640000000013
vowel0,smote_enn,SMOTE-ENN,decision_tree,988,13,13,0,5,887,11,4,86,0.9848178137651822,0.9716530561742143,0.8865979381443299,0.9555555555555556,0.9916154276131918,0.9197860962566844,0.955700761934938,0.955700761934938,0.0,PASS,,0.501533199999999
vowel0,adasyn,ADASYN,decision_tree,988,13,13,0,5,890,8,7,83,0.9848178137651822,0.9566567681267013,0.9120879120879121,0.9222222222222223,0.9916434540389972,0.9171270718232044,0.9543852629311008,0.9543852629311008,0.0,PASS,,0.24206000000000039
vowel0,smote,SMOTE,decision_tree,988,13,13,0,5,888,10,6,84,0.9838056680161943,0.9610987379361544,0.8936170212765957,0.9333333333333333,0.9910714285714285,0.9130434782608695,0.952057453416149,0.952057453416149,0.0,PASS,,0.2065009
vowel0,smote_tomek,SMOTE-Tomek,decision_tree,988,13,13,0,5,888,10,6,84,0.9838056680161943,0.9610987379361544,0.8936170212765957,0.9333333333333333,0.9910714285714285,0.9130434782608695,0.952057453416149,0.952057453416149,0.0,PASS,,0.39726639999999946
vowel0,none,No Resampling,decision_tree,988,13,13,0,5,893,5,11,79,0.9838056680161943,0.9361049245236328,0.9404761904761905,0.8777777777777778,0.9911209766925638,0.9080459770114943,0.949583476852029,0.949583476852029,0.0,PASS,,0.1506634999999985
vowel0,ros,Random Oversampling,decision_tree,988,13,13,0,5,888,10,9,81,0.9807692307692307,0.9444320712694878,0.8901098901098901,0.9,0.9894150417827299,0.8950276243093923,0.9422213330460611,0.9422213330460611,0.0,PASS,,0.16374750000000127
vowel0,rus,Random Undersampling,decision_tree,988,13,13,0,5,844,54,2,88,0.9433198380566802,0.9588220737441226,0.6197183098591549,0.9777777777777777,0.9678899082568806,0.7586206896551724,0.8632552989560265,0.8632552989560265,0.0,PASS,,0.12163989999999991
vowel0,adasyn,ADASYN,random_forest,988,13,13,0,5,896,2,0,90,0.9979757085020243,0.9988864142538976,0.9782608695652174,1.0,0.9988851727982163,0.989010989010989,0.9939480809046026,0.9939480809046026,0.0,PASS,,3.5057511000000012
vowel0,smote,SMOTE,random_forest,988,13,13,0,5,896,2,2,88,0.9959514170040485,0.9877753031427865,0.9777777777777777,0.9777777777777777,0.9977728285077951,0.9777777777777777,0.9877753031427865,0.9877753031427865,0.0,PASS,,3.4491861999999998
vowel0,smote_tomek,SMOTE-Tomek,random_forest,988,13,13,0,5,896,2,2,88,0.9959514170040485,0.9877753031427865,0.9777777777777777,0.9777777777777777,0.9977728285077951,0.9777777777777777,0.9877753031427865,0.9877753031427865,0.0,PASS,,3.384110100000001
