dataset,resampling_code,resampling,classifier,samples,features,numeric_features,categorical_features,safe_k_neighbors,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1_class_0_math,f1_class_1_math,macro_f1_code,macro_f1_math,metric_error,verification,execution_time_seconds
wisconsin,smote_enn,SMOTE-ENN,logistic_regression,683,9,9,0,5,430,14,6,233,0.9707174231332357,0.9716819329790041,0.9433198380566802,0.9748953974895398,0.9772727272727272,0.9588477366255145,0.9680602319491208,0.9680602319491208,0.0,PASS,0.2326503999999998
wisconsin,none,No Resampling,logistic_regression,683,9,9,0,5,435,9,11,228,0.9707174231332357,0.9668523125636097,0.9620253164556962,0.9539748953974896,0.9775280898876404,0.957983193277311,0.9677556415824757,0.9677556415824757,0.0,PASS,0.11227820000000044
wisconsin,smote,SMOTE,logistic_regression,683,9,9,0,5,432,12,9,230,0.9692532942898975,0.9676580346036413,0.9504132231404959,0.9623430962343096,0.976271186440678,0.9563409563409563,0.9663060713908171,0.9663060713908171,0.0,PASS,0.12442210000000031
wisconsin,smote_tomek,SMOTE-Tomek,logistic_regression,683,9,9,0,5,432,12,9,230,0.9692532942898975,0.9676580346036413,0.9504132231404959,0.9623430962343096,0.976271186440678,0.9563409563409563,0.9663060713908171,0.9663060713908171,0.0,PASS,0.2106823999999996
wisconsin,rus,Random Undersampling,logistic_regression,683,9,9,0,5,430,14,8,231,0.9677891654465594,0.9674978325605941,0.9428571428571428,0.9665271966527197,0.9750566893424036,0.9545454545454545,0.9648010719439291,0.9648010719439291,0.0,PASS,0.2366780000000004
wisconsin,ros,Random Oversampling,logistic_regression,683,9,9,0,5,431,13,9,230,0.9677891654465594,0.9665319084775151,0.9465020576131687,0.9623430962343096,0.9751131221719457,0.9543568464730291,0.9647349843224874,0.9647349843224874,0.0,PASS,0.11819060000000015
wisconsin,adasyn,ADASYN,logistic_regression,683,9,9,0,5,426,18,5,234,0.9663250366032211,0.9692694786837046,0.9285714285714286,0.9790794979079498,0.9737142857142858,0.9531568228105907,0.9634355542624382,0.9634355542624382,0.0,PASS,0.17231240000000003
wisconsin,none,No Resampling,decision_tree,683,9,9,0,5,430,14,15,224,0.9575402635431918,0.9528534810961589,0.9411764705882353,0.9372384937238494,0.9673790776152981,0.939203354297694,0.953291215956496,0.953291215956496,0.0,PASS,0.11315570000000008
wisconsin,smote_enn,SMOTE-ENN,decision_tree,683,9,9,0,5,427,17,16,223,0.9516837481698389,0.9473830525085756,0.9291666666666667,0.9330543933054394,0.9627959413754228,0.9311064718162839,0.9469512065958534,0.9469512065958534,0.0,PASS,0.17037139999999962
wisconsin,rus,Random Undersampling,decision_tree,683,9,9,0,5,422,22,16,223,0.9443631039531479,0.941752421877945,0.9102040816326531,0.9330543933054394,0.9569160997732427,0.9214876033057852,0.939201851539514,0.939201851539514,0.0,PASS,0.09873979999999971
wisconsin,ros,Random Oversampling,decision_tree,683,9,9,0,5,426,18,21,218,0.9428989751098097,0.9357966753364243,0.923728813559322,0.9121338912133892,0.9562289562289561,0.9178947368421052,0.9370618465355307,0.9370618465355307,0.0,PASS,0.09924090000000074
wisconsin,adasyn,ADASYN,decision_tree,683,9,9,0,5,426,18,21,218,0.9428989751098097,0.9357966753364243,0.923728813559322,0.9121338912133892,0.9562289562289561,0.9178947368421052,0.9370618465355307,0.9370618465355307,0.0,PASS,0.14157749999999947
wisconsin,smote,SMOTE,decision_tree,683,9,9,0,5,428,16,24,215,0.9414348462664714,0.9317727769610615,0.9307359307359307,0.899581589958159,0.9553571428571428,0.9148936170212766,0.9351253799392096,0.9351253799392096,0.0,PASS,0.11528229999999962
wisconsin,smote_tomek,SMOTE-Tomek,decision_tree,683,9,9,0,5,428,16,26,213,0.9385065885797951,0.9275886765426515,0.9301310043668122,0.891213389121339,0.953229398663697,0.9102564102564101,0.9317429044600536,0.9317429044600536,0.0,PASS,0.16965500000000056
wisconsin,smote_tomek,SMOTE-Tomek,random_forest,683,9,9,0,5,432,12,3,236,0.9780380673499268,0.9802103358588714,0.9516129032258065,0.9874476987447699,0.9829351535836178,0.9691991786447638,0.9760671661141909,0.9760671661141909,0.0,PASS,4.261192099999999
wisconsin,smote,SMOTE,random_forest,683,9,9,0,5,431,13,3,236,0.9765739385065886,0.9790842097327452,0.9477911646586346,0.9874476987447699,0.9817767653758542,0.9672131147540985,0.9744949400649764,0.9744949400649764,0.0,PASS,5.572461700000002
wisconsin,rus,Random Undersampling,random_forest,683,9,9,0,5,431,13,4,235,0.9751098096632503,0.9769921595235402,0.9475806451612904,0.9832635983263598,0.9806598407281,0.9650924024640657,0.9728761215960828,0.9728761215960828,0.0,PASS,4.837234599999999
wisconsin,none,No Resampling,random_forest,683,9,9,0,5,432,12,7,232,0.972181551976574,0.9718421350220514,0.9508196721311475,0.9707112970711297,0.9784824462061155,0.9606625258799171,0.9695724860430163,0.9695724860430163,0.0,PASS,3.4410302999999995
wisconsin,ros,Random Oversampling,random_forest,683,9,9,0,5,431,13,7,232,0.9707174231332357,0.9707160088959252,0.9469387755102041,0.9707112970711297,0.9773242630385486,0.9586776859504132,0.9680009744944809,0.9680009744944809,0.0,PASS,6.0006979000000005
wisconsin,adasyn,ADASYN,random_forest,683,9,9,0,5,430,14,7,232,0.9692532942898975,0.9695898827697991,0.943089430894309,0.9707112970711297,0.9761634506242906,0.956701030927835,0.9664322407760628,0.9664322407760628,0.0,PASS,3.0693589999999986
wisconsin,smote_enn,SMOTE-ENN,random_forest,683,9,9,0,5,430,14,7,232,0.9692532942898975,0.9695898827697991,0.943089430894309,0.9707112970711297,0.9761634506242906,0.956701030927835,0.9664322407760628,0.9664322407760628,0.0,PASS,3.139296800000004
wisconsin,smote_enn,SMOTE-ENN,xgboost,683,9,9,0,5,431,13,7,232,0.9707174231332357,0.9707160088959252,0.9469387755102041,0.9707112970711297,0.9773242630385486,0.9586776859504132,0.9680009744944809,0.9680009744944809,0.0,PASS,1.3399447000000038
wisconsin,none,No Resampling,xgboost,683,9,9,0,5,432,12,9,230,0.9692532942898975,0.9676580346036413,0.9504132231404959,0.9623430962343096,0.976271186440678,0.9563409563409563,0.9663060713908171,0.9663060713908171,0.0,PASS,1.5858355999999958
wisconsin,smote_tomek,SMOTE-Tomek,xgboost,683,9,9,0,5,432,12,9,230,0.9692532942898975,0.9676580346036413,0.9504132231404959,0.9623430962343096,0.976271186440678,0.9563409563409563,0.9663060713908171,0.9663060713908171,0.0,PASS,1.4391008999999997
wisconsin,rus,Random Undersampling,xgboost,683,9,9,0,5,429,15,7,232,0.9677891654465594,0.9684637566436729,0.9392712550607287,0.9707112970711297,0.975,0.9547325102880658,0.9648662551440329,0.9648662551440329,0.0,PASS,1.1727745000000027
wisconsin,smote,SMOTE,xgboost,683,9,9,0,5,431,13,10,229,0.9663250366032211,0.9644398582683101,0.9462809917355371,0.9581589958158996,0.9740112994350283,0.9521829521829522,0.9630971258089902,0.9630971258089902,0.0,PASS,1.3258724000000015
wisconsin,ros,Random Oversampling,xgboost,683,9,9,0,5,430,14,10,229,0.9648609077598829,0.9633137321421841,0.9423868312757202,0.9581589958158996,0.9728506787330317,0.950207468879668,0.9615290738063498,0.9615290738063498,0.0,PASS,1.2657211000000004
wisconsin,adasyn,ADASYN,xgboost,683,9,9,0,5,431,13,11,228,0.9648609077598829,0.9623478080591051,0.946058091286307,0.9539748953974896,0.9729119638826186,0.95,0.9614559819413093,0.9614559819413093,0.0,PASS,1.3827987999999962
