dataset,resampling_code,resampling,classifier,samples,features,numeric_features,categorical_features,safe_k_neighbors,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1_class_0_math,f1_class_1_math,macro_f1_code,macro_f1_math,metric_error,verification,execution_time_seconds
yeast1,rus,Random Undersampling,logistic_regression,1484,8,8,0,5,756,299,127,302,0.7129380053908356,0.7102751908439112,0.502495840266223,0.703962703962704,0.7801857585139318,0.5864077669902913,0.6832967627521116,0.6832967627521116,0.0,PASS,0.14194070000000014
yeast1,smote_tomek,SMOTE-Tomek,logistic_regression,1484,8,8,0,5,749,306,131,298,0.7055256064690026,0.7022956506368829,0.49337748344370863,0.6946386946386947,0.7741602067183463,0.5769603097773476,0.6755602582478469,0.6755602582478469,0.0,PASS,0.4909907000000002
yeast1,smote,SMOTE,logistic_regression,1484,8,8,0,5,749,306,132,297,0.7048517520215634,0.7011301494713817,0.4925373134328358,0.6923076923076923,0.7737603305785125,0.5755813953488371,0.6746708629636748,0.6746708629636748,0.0,PASS,0.21573550000000008
yeast1,ros,Random Oversampling,logistic_regression,1484,8,8,0,5,751,304,134,295,0.7048517520215634,0.6997470144389576,0.49248747913188645,0.6876456876456877,0.7742268041237114,0.5739299610894941,0.6740783826066028,0.6740783826066028,0.0,PASS,0.12989629999999996
yeast1,adasyn,ADASYN,logistic_regression,1484,8,8,0,5,685,370,105,324,0.6799191374663073,0.7022669273854107,0.4668587896253602,0.7552447552447552,0.7425474254742549,0.5770258236865539,0.6597866245804044,0.6597866245804044,0.0,PASS,0.24549140000000058
yeast1,smote_enn,SMOTE-ENN,logistic_regression,1484,8,8,0,5,648,407,84,345,0.6691374663072777,0.7092069068372386,0.4587765957446808,0.8041958041958042,0.7252378287632905,0.584250635055038,0.6547442319091643,0.6547442319091643,0.0,PASS,0.5303158000000003
yeast1,none,No Resampling,logistic_regression,1484,8,8,0,5,977,78,283,146,0.7567385444743935,0.6331963455186205,0.6517857142857143,0.34032634032634035,0.844060475161987,0.44716692189892804,0.6456136985304575,0.6456136985304575,0.0,PASS,0.3021811999999997
yeast1,none,No Resampling,decision_tree,1484,8,8,0,5,843,212,187,242,0.7311320754716981,0.6815773484019929,0.5330396475770925,0.5641025641025641,0.80863309352518,0.5481313703284258,0.6783822319268029,0.6783822319268029,0.0,PASS,0.12235879999999977
yeast1,adasyn,ADASYN,decision_tree,1484,8,8,0,5,824,231,178,251,0.7243935309973046,0.6830621195550105,0.520746887966805,0.585081585081585,0.8011667476908119,0.5510428100987925,0.6761047788948022,0.6761047788948022,0.0,PASS,0.41922749999999986
yeast1,smote_enn,SMOTE-ENN,decision_tree,1484,8,8,0,5,758,297,144,285,0.7028301886792453,0.6914095383289696,0.4896907216494845,0.6643356643356644,0.7746550843127235,0.5637982195845698,0.6692266519486466,0.6692266519486466,0.0,PASS,0.5484498000000002
yeast1,ros,Random Oversampling,decision_tree,1484,8,8,0,5,853,202,205,224,0.7257412398921833,0.665337663915863,0.5258215962441315,0.5221445221445221,0.8073828679602462,0.5239766081871345,0.6656797380736903,0.6656797380736903,0.0,PASS,0.15227339999999945
yeast1,smote,SMOTE,decision_tree,1484,8,8,0,5,814,241,186,243,0.7122641509433962,0.6689987737381102,0.5020661157024794,0.5664335664335665,0.7922141119221412,0.5323110624315444,0.6622625871768428,0.6622625871768428,0.0,PASS,0.24249540000000014
yeast1,smote_tomek,SMOTE-Tomek,decision_tree,1484,8,8,0,5,820,235,195,234,0.7102425876010782,0.6613528651443343,0.4989339019189765,0.5454545454545454,0.7922705314009663,0.5211581291759466,0.6567143302884564,0.6567143302884564,0.0,PASS,0.8692712
yeast1,rus,Random Undersampling,decision_tree,1484,8,8,0,5,692,363,135,294,0.6644204851752021,0.6706194279653995,0.4474885844748858,0.6853146853146853,0.7353878852284804,0.5414364640883977,0.638412174658439,0.638412174658439,0.0,PASS,0.11440470000000058
yeast1,smote_tomek,SMOTE-Tomek,random_forest,1484,8,8,0,5,876,179,154,275,0.7756064690026954,0.7356786972900717,0.6057268722466961,0.6410256410256411,0.8402877697841727,0.622876557191393,0.7315821634877828,0.7315821634877828,0.0,PASS,4.0617628
yeast1,smote,SMOTE,random_forest,1484,8,8,0,5,872,183,161,268,0.7681940700808625,0.7256244545344072,0.5942350332594235,0.6247086247086248,0.8352490421455938,0.609090909090909,0.7221699756182514,0.7221699756182514,0.0,PASS,4.290422799999998
yeast1,adasyn,ADASYN,random_forest,1484,8,8,0,5,858,197,155,274,0.7628032345013477,0.7259823904373668,0.5817409766454352,0.6386946386946387,0.8297872340425532,0.6088888888888889,0.719338061465721,0.719338061465721,0.0,PASS,3.5675926999999987
yeast1,ros,Random Oversampling,random_forest,1484,8,8,0,5,888,167,181,248,0.7654986522911051,0.7098973696130094,0.5975903614457831,0.578088578088578,0.8361581920903954,0.5876777251184835,0.7119179586044395,0.7119179586044395,0.0,PASS,4.0149889000000005
yeast1,rus,Random Undersampling,random_forest,1484,8,8,0,5,768,287,106,323,0.7351752021563343,0.740437919110905,0.5295081967213114,0.752913752913753,0.7962674961119751,0.6217516843118382,0.7090095902119067,0.7090095902119067,0.0,PASS,5.5360140000000015
yeast1,none,No Resampling,random_forest,1484,8,8,0,5,947,108,220,209,0.7789757412398922,0.6924049094665209,0.6593059936908517,0.48717948717948717,0.8523852385238524,0.5603217158176944,0.7063534771707733,0.7063534771707733,0.0,PASS,3.9407537999999995
yeast1,smote_enn,SMOTE-ENN,random_forest,1484,8,8,0,5,757,298,117,312,0.7203504043126685,0.722404136148212,0.5114754098360655,0.7272727272727273,0.7848626231207879,0.600577478344562,0.692720050732675,0.692720050732675,0.0,PASS,3.7901323999999974
yeast1,smote_tomek,SMOTE-Tomek,xgboost,1484,8,8,0,5,828,227,145,284,0.7493261455525606,0.7234193926137054,0.5557729941291585,0.662004662004662,0.8165680473372782,0.6042553191489362,0.7104116832431071,0.7104116832431071,0.0,PASS,2.0500326000000015
