dataset,resampling_code,resampling,classifier,samples,features,numeric_features,categorical_features,safe_k_neighbors,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1_class_0_math,f1_class_1_math,macro_f1_code,macro_f1_math,metric_error,verification,execution_time_seconds
zoo-3,ros,Random Oversampling,logistic_regression,101,16,0,16,3,93,3,2,3,0.9504950495049505,0.784375,0.5,0.6,0.9738219895287958,0.5454545454545454,0.7596382674916706,0.7596382674916706,0.0,PASS,0.23480419999999924
zoo-3,smote,SMOTE,logistic_regression,101,16,0,16,3,93,3,2,3,0.9504950495049505,0.784375,0.5,0.6,0.9738219895287958,0.5454545454545454,0.7596382674916706,0.7596382674916706,0.0,PASS,0.2030606000000006
zoo-3,adasyn,ADASYN,logistic_regression,101,16,0,16,3,93,3,2,3,0.9504950495049505,0.784375,0.5,0.6,0.9738219895287958,0.5454545454545454,0.7596382674916706,0.7596382674916706,0.0,PASS,0.17292149999999928
zoo-3,smote_tomek,SMOTE-Tomek,logistic_regression,101,16,0,16,3,93,3,2,3,0.9504950495049505,0.784375,0.5,0.6,0.9738219895287958,0.5454545454545454,0.7596382674916706,0.7596382674916706,0.0,PASS,0.19836710000000046
zoo-3,smote_enn,SMOTE-ENN,logistic_regression,101,16,0,16,3,92,4,2,3,0.9405940594059405,0.7791666666666667,0.42857142857142855,0.6,0.968421052631579,0.5,0.7342105263157894,0.7342105263157894,0.0,PASS,0.21400699999999873
zoo-3,none,No Resampling,logistic_regression,101,16,0,16,3,96,0,4,1,0.9603960396039604,0.6,1.0,0.2,0.9795918367346939,0.33333333333333337,0.6564625850340136,0.6564625850340136,0.0,PASS,0.14424170000000025
zoo-3,rus,Random Undersampling,logistic_regression,101,16,0,16,3,63,33,2,3,0.6534653465346535,0.628125,0.08333333333333333,0.6,0.7826086956521738,0.14634146341463414,0.464475079533404,0.464475079533404,0.0,PASS,0.18977280000000007
zoo-3,ros,Random Oversampling,decision_tree,101,16,0,16,3,94,2,2,3,0.9603960396039604,0.7895833333333333,0.6,0.6,0.9791666666666666,0.6,0.7895833333333333,0.7895833333333333,0.0,PASS,0.24897349999999996
zoo-3,adasyn,ADASYN,decision_tree,101,16,0,16,3,93,3,3,2,0.9405940594059405,0.684375,0.4,0.4,0.96875,0.4000000000000001,0.6843750000000001,0.6843750000000001,0.0,PASS,0.11411850000000001
zoo-3,smote_enn,SMOTE-ENN,decision_tree,101,16,0,16,3,89,7,3,2,0.900990099009901,0.6635416666666667,0.2222222222222222,0.4,0.9468085106382979,0.2857142857142857,0.6162613981762918,0.6162613981762918,0.0,PASS,0.38967889999999983
